[00:00] 直接切入正題,今天這份解析,我們要直擊穩貌,代號3105。
[00:07] 就在台股經歷史上最血腥的一天,整個市場大崩潰的時候,
[00:13] 穩貌居然交出了一份讓外資徹底跌破眼鏡的第二季財報。
[00:19] 沒錯,大家先看這個寫零零的數字,1219.97。
[00:25] 2024年7月24日,台股創下史上單日第九大跌點,
[00:31] 大盤可以說是直接無茶別崩盤。
[00:34] 就連穩貌自己在法說會前夕也難逃這一波系統性恐慌的屠殺,
[00:40] 股價重挫了6.31%,直接灌破收在341.5元。
[00:46] 老實說,在這種極度悲觀的總金環境下,到底還有誰敢看多?
[00:52] 但你猜怎麼著,這就是這次法說會最大的驚奇,
[00:56] 或者說對空軍而言是最大的驚嚇。
[01:00] 穩貌第二季的稅後盡力居然直接暴增了83.3%,
[01:05] 達到新台幣9.77億元。
[01:08] 這背後最關鍵的轉折點到底在哪?
[01:11] 就在於過去壓死他們獲利的沉重折舊費用,
[01:15] 單計居然大幅下降到了7.6億元。
[01:18] 這等於宣到了穩貌的折舊寒冬正式結束,
[01:21] 他們正在從防守全面轉向進攻。
[01:25] 等一下,作為量化分析派,我們還是得拿冷冰冰的數據來驗證。
[01:29] 大家看,第二季單計EPS高達2.30元,
[01:33] 你知道法說會前市場預估的中位數十多坊嗎?
[01:37] 才1.43元,這等於超額獲利幅度高達金人的60.8%。
[01:42] 這已經不是什麼普通的打敗預期了,
[01:45] 這份數據直接證明營運槓桿帶來的利潤彈性,
[01:49] 早就遠遠超過法人的模型預測。
[01:52] 穩貌是真的靠這一季打了一場極具戰略意義的翻身杖。
[01:57] 沒錯,那為了讓大家都能瞄動,
[01:59] 我們用一個5C小孩也能懂得商業模式來比喻。
[02:03] 穩貌其實就像是一家全球頂級的無線通訊高科技廚房。
[02:07] 過去呢,這家廚房主要幫蘋果和安卓這些大餐廳
[02:11] 代工製作手機必備的信號增強器。
[02:14] 前幾年因為客人變少,廚房空著,
[02:17] 但之前分歧付款買的昂貴廚具,
[02:20] 那個折舊費壓得他們連年虧損。
[02:23] 可是現在情況完全反轉了,
[02:25] 大客戶不僅回流,
[02:26] 這家廚房還開發出了專門賣給AI超級電腦
[02:30] 和低軌衛星的高毛利新菜單,
[02:32] 也就是光通訊PD接收晶片。
[02:35] 隨著舊廚具的貸款慢慢繳清,
[02:37] 高毛利的新菜單又開始爆亮,
[02:39] 這家高科技廚房正在迎來獲利
[02:42] 全面大爆發的黃金交叉。
[02:44] 故事聽起來是很完美啦,
[02:47] 但我們來拆解一下第三季的裁測指引,
[02:51] 看看裡面有沒有破綻。
[02:53] 管理層預估第三季營收記憎
[02:56] 會落在低雙位數百分比,
[02:59] 大概就是11%到13%,
[03:02] 毛利率則預估攀升到30%,
[03:06] 差不多31%到33%,
[03:10] 但我真正要質疑的點來了,
[03:13] 目前產能利用率才剛回升到65%,
[03:17] 公司卻同時宣布全年資本支出預算
[03:21] 要調升到新台幣20億到30億元。
[03:25] 要知道哦,光是上半年他們就已經砸了10.13億了。
[03:31] 在產能根本還沒滿載的情況下,
[03:34] 大動作重啟專案性資本支出,
[03:37] 去擴充淡化加跟光電元件製程。
[03:41] 這難道不是在堵命嗎?
[03:43] 說到這兒,這就來到了法說會現場最刺激的Q&A舉擊手環節。
[03:50] 現場的機構法人可以說是直接開槍了,
[03:53] 問了大家最關心的問題。
[03:56] 你們現在高速光通訊接收端PD晶片,
[03:59] 到底是不是面臨過度依賴單一美希大客戶的集中度風險?
[04:05] 沒錯,面對這種犀利的逼問,
[04:07] 管理層的回應可以說是底氣十足。
[04:10] 總經理直接坦承,
[04:12] 對,目前確實高入集中在單一主要大客戶,
[04:16] 但是,下游AI資料中心的高速傳輸需求實在是太火爆了。
[04:21] 我冒現在光是滿足現有客戶的量產時成就已經相當吃力。
[04:27] 這句話翻譯過來是什麼?
[04:29] 就是訂單滿到根本做不完,
[04:31] 短期內完全不需要去擔心什麼慘能過剩或是價格佔的壓力。
