[00:00] 大家好,投资不想随便抓,锁定价值古雷达。
[00:04] 人工智慧机房现在盖的满天下都是,你又没有仔细想过,真正把那些伺服器一台一台组装出来的人到底是谁?
[00:12] 今天雷达要来跟你讲一家,叫做杰普的公司,他自己从来不制造运转晶片,也绝对不挂藏自己的品牌。
[00:19] 但是,他却能成为整作人工智慧机房的总成包商,最新这一集的财报数字一开出来,更是全面潮流。
[00:26] 他的人工智慧相关营收还一路大幅往上调整,这家公司到底都是怎么赚钱的?到底值不值得我们投资人去追?
[00:34] 今天我们就来一夜一夜仔细拆解给你听,把里面的门道全部看清楚。
[00:39] 我们先来讲最重要的结论,杰普这家公司自己不制造运转晶片,也不挂自由品牌,可是他却有办法把整作人工智慧机房通通包下来做。
[00:49] 在2026年快纪年度的第三季,他的营收得到88亿美元,比起去年同期成长了12%。
[00:56] 他的核心美股盈余来到3.16美元,年增率更是高达24%,调整后的自由现金流也有3.59亿美元。
[01:05] 这几个财务数字同时开得这么漂亮,真的是非常不简单的一件事情。
[01:09] 更关键的重点是,他把全年人工智慧相关营收的展望一路上修到大约136亿美元,年成长大约是50%,
[01:18] 我跟你说句实话,这种惊人的数字能够摆在台面上,代表的绝对不是运气好而已,是他那一套独特的生意模式,真的非常有效。
[01:28] 他的作战打法,就是在原本多元化代工的深厚底子上,在叠加升级成,人工智慧资料中心的一战是整合平台。
[01:36] 现在的数字已经明确证明,他绝对会继续成长,这个大方向是完全没有问题的。
[01:41] 我们接下来真正要紧定的地方,是他明年成长的品质好不好,以及到底称不称得住。
[01:46] 这个细节我们留在后面慢慢来聊。
[01:49] 现在到了工商服务时间,如果先前看过的朋友想跳过,可以直接按底下的章节跳过。
[01:55] 很多朋友常常在底下留言,问我平常是用哪个平台来下单的。
[01:59] 我们自己长期在使用的就是营透证券这个全球理财平台。
[02:03] 这个系统不值连线的稳定度极高,还能让我们直接跨海买到美国,跟日本的重点交易市场。
[02:10] 对于我们这种必须紧盯全球供应链的实战交易者来说,这绝对是一个非常强大而且好用的力气。
[02:17] 如果大家对这个我们每天都在用的美股圈上有兴趣要开户,非常欢迎点击影片下方说明栏里面的专属链接,可以帮助到我们。
[02:25] 或者大家也可以直接拿起手机扫描画面中的条码,亲自去体验看看营透证券各项强大的下单功能。
[02:32] 按照合约规定,这边还是要特别提醒大家,刚刚讲的这些推广内容,绝对不构成任何的买卖推荐。
[02:39] 投资市场本来就伴随着不小的风险,大家在把真金白银砸下去之前,一定要先做好非常谨慎的评估。
[02:46] 各位老朋友们,在做出任何投资决策之前,务必要先寻求专业独立的财务建议,并且强越网站上的风险声明。
[02:54] 最后我也要非常诚实地跟大家报告,我本身就是营透证券的客户,我们双方有签订专属的点击付费合作协议。
[03:02] 只要大家透过影片下方的专属连结点击过去,营透证券就会支付我们频道一笔小额的推广费用来维持音乐。
[03:10] 你要真正看懂解谱这家公司,就必须先搞懂什么叫做电子制造服务。
[03:15] 我来打个简单的比方你就一定会懂,品牌商就像是出书的作者一样,主要负责想出好的电子,还有挂上自己的名字。
[03:23] 这个产品的智慧产权全部都是属于品牌商的,那电子制造服务究竟在做些什么呢?
[03:29] 他就是扮演那个印刷厂,加上物流配送,还有品质控管的关键角色,负责把人家的设计图纸变成真正可以顺利量产,而且能够准时交货的好东西。
[03:39] 结谱一路走来,就是专注在这条路上,他不用有任何产品的智慧产权,也绝对不挂上自己的招牌去抢市场。
[03:47] 他就是专门替全球最大的那几个超级客户,把产品完美的做出来,不但要做得好,还要能够准时交货。
[03:55] 不过这种代工生意的毛利率天生就不会太高,你看看他最新的核心营业利益率,其实也才5.8%而已。
