[00:00] 歡迎來到本次的深度解析
[00:02] 今天我們要化先為
[00:04] 《財務法醫》
[00:05] 一起來調查一家傳統領組建大廠
[00:08] 立龍店
[00:09] 說真的
[00:10] 這家公司最近在市場上的表現
[00:13] 簡直就像是一檔
[00:14] 爆發性成長的 AI 概念股
[00:17] 這到底是怎麼回事
[00:18] 我們將直接透過最真實的財報數據
[00:21] 還有他們最新的法說會資料
[00:23] 帶大家一層一層撥開
[00:25] 這場華麗轉身背後的真相
[00:28] 準備好了嗎
[00:29] 好 我們直接切肉正題
[00:32] 先來聽聽這個會讓人眼睛一亮的
[00:35] 驚人數字
[00:36] 36.23%
[00:38] 沒錯
[00:39] 立龍店在 2026 年 6 月的
[00:42] 單月營收年增率
[00:44] 竟然高達了 36.23%
[00:47] 大家要知道
[00:48] 在目前市場普遍擔憂總體經濟逆風
[00:51] 而且很多被動元件廠
[00:53] 都在痛苦去劃庫存的大環境下
[00:56] 這個異常突出的成績單
[00:58] 真的是太不尋常了
[01:00] 這也正是為什麼
[01:01] 這檔股票絕對值得我們
[01:03] 立刻拿放大進來好好檢視
[01:06] 不過在一頭栽進那些
[01:08] 複雜的財務數字之前
[01:10] 我們先用最簡單
[01:11] 連五歲小孩都能懂的比喻
[01:14] 來瞭解一下他們到底在做什麼
[01:16] 內龍店的核心業務是電容器
[01:19] 你可以把它想像成
[01:20] 科技電子城市的水塔與綠水器
[01:23] 過去呢
[01:24] 他們主要是幫那些便宜的
[01:26] 消費性電子產品
[01:27] 裝配一般的小型水塔
[01:30] 但現在完全不同了
[01:31] 為了應對耗電量
[01:33] 超誇張的AI數據中心
[01:35] 還有最秉極的豪華電動車
[01:37] 他們全面升級
[01:39] 開始建造那種
[01:40] 能耐高溫超高壓的特級防暴水庫
[01:44] 你想想看嘛
[01:45] 電流就像水流
[01:46] 如果沒有這些特級水庫
[01:48] 來穩定水壓
[01:49] 過濾雜訊
[01:50] 再強大的AI晶片
[01:51] 都會瞬天短路停擺的
[01:54] 那麼我們進入第一部分
[01:56] AI 雨車用雙引擎轉型
[01:59] 來看看他們營收板塊的大挪移
[02:03] 現在最有趣的地方來了
[02:06] 就是這場策略轉型
[02:08] 背後的營收結構變化
[02:10] 你會發現
[02:11] 麗龍店非常刻意的
[02:13] 進行了階段與聚焦
[02:16] 他們直接把過去極度依賴
[02:18] 但毛利很低的
[02:19] 消費性電子產品
[02:21] 大幅度擠壓
[02:23] 現在占比居然只剩下 8%
[02:25] 然後呢
[02:26] 火力全開轉向
[02:28] 高毛利的汽車電子與工業設備
[02:31] 這兩塊分別吃下了
[02:32] 34%到36%
[02:35] 以及18%的大份額
[02:38] 至於大家現在最瘋狂關注的
[02:40] AI雲端伺服器
[02:42] 雖然目前占比是4%
[02:44] 但管理層在法收會上
[02:46] 可是特別強調了
[02:48] 他們跟國際大廠的合作
[02:50] 正在快速升化
[02:52] 今年的成長曲線
[02:53] 預計會超級抖翹
[02:56] 這種產品結構的優化
[02:58] 為他們帶來了一個
[02:59] 在硬體製造業裡
[03:01] 可以說是極其罕見的超級優勢
[03:04] 各位知道嗎
[03:05] 倫敦金屬交易所的旅駕
[03:07] 在今年6月
[03:08] 可是瘋狂飆漲了將近39.9%
[03:12] 市場原本超悲觀
[03:14] 覺得這絕對會對
[03:15] 電容廠的毛利率
[03:16] 造成毀滅性打擊
[03:18] 但是
[03:19] 麗龍店卻展現了
[03:20] 超強的定價權
[03:22] 他們在第二季
[03:23] 不僅沒有被通膨吃掉利潤
[03:25] 反而還強勢對
[03:26] 下游的TR1車廠
[03:28] 跟伺服器代工廠
[03:29] 成功調漲了價格
[03:31] 這真的是個分水嶺
[03:33] 這代表他們已經從
[03:34] 被動挨打的價格接受者
[03:36] 華麗轉身
[03:37] 變成握有話語權的
[03:38] 價格制定者了
[03:40] 而且
[03:41] 為了進一步鞏固
[03:42] 這個老大的地位
[03:44] 他們毫不手軟地
[03:45] 砸下了大約
[03:46] 8000萬美元的資本支出
[03:48] 在泰國建造了全新廠房
[03:51] 這是一步走得極為精準的
[03:53] China Plus One
[03:54] 地遠政治避險期
[03:56] 新廠在今年3月開幕
[03:58] 預計第四季就能開始量產
[04:01] 初期每個月
[04:01] 能開出3100萬克的產能
[04:04] 這絕對不只是單純的產能擴充而由
[04:07] 這根本是他們為了穩穩吃下
[04:09] 歐美客戶非紅色供應鏈大單
[04:12] 所量身打造的特級入場券
[04:15] 接著來到第二部分
[04:17] 拆解法說回真相
[04:19] 我們來看看
[04:20] 目前市場上激烈的多空大辯論
[04:24] 自從這些轉型數據跟擴產計劃
[04:27] 在7月15日的法說會上公開後
[04:31] 資本市場立刻炸鍋了
[04:34] 現在對立龍電的看法
[04:36] 簡直是極度樂觀
[04:38] 對上極度悲觀
[04:40] 多方始終抱著AI題材
[04:42] 因為有消息指出
[04:44] 他們成功切入了
[04:45] NVIDIA新一代
[04:47] Vera Rubin平台供應鏈
[04:49] 再加上日系大廠產能全拿去做AI特規品
[04:53] 導致中低階訂單大量溢出
[04:56] 多方甚至喊出
[04:57] 願意給到30倍以上的本益比溢價
[05:01] 但另一邊
[05:02] 空方也不是省油的燈
[05:04] 他們緊盯著總經的隱患
[05:06] 像是全球旅財供應瓶頸
[05:08] 還有萬一全球電動車爆發慘烈的殺價站
[05:12] 上游供應商絕對會手當其衝
[05:15] 免零嚴重的利潤擠壓
[05:17] 不過了針對空方
[05:19] 對於原物料狂漲的擔憂
[05:21] 我們往下生蛙
[05:22] 發現了一個多數人都忽略的逆向觀點
[05:25] 大家來看看利倫店
[05:27] 轉投資的上游旅佛子公司利敦
[05:30] 利敦在6月份的營收
[05:31] 竟然暴增了43.96%
[05:34] 這意味著什麼
[05:36] 這表示
[05:36] 當整個產業都在因為原物料標漲
[05:39] 而挨紅片野的時候
[05:40] 利倫店即防靠著強大的垂直整合
[05:43] 不僅吸收了原料取得風險
[05:45] 甚至還能把上游旅佛漲價的紅利
[05:48] 直接收進自己的合併報表裡
[05:51] 這就是空方完全漏看的超強護城河
[05:54] 好 進入第三部分
