[00:00] 直接切入重點,今天我們把焦點鎖定在代號6415的
[00:05] 《規例KY最新法》說會。
[00:08] 我們不講廢話,因為這家公司現在正處在一個極度緊繃
[00:13] 新舊交替的生死交叉點,直接來看最核心的數據。
[00:19] 673元,這是它近期的收盤價。
[00:23] 你以為這只是一個冷冰冰的數字嗎?
[00:26] 錯了,這背後代表著整個資本市場對這家公司未來的估值
[00:31] 正處在一種既期待又怕受傷害的瘋狂拉扯。
[00:35] 大家都在狂暗計算機,這個價格到底站不站得住腳。
[00:40] 但就在市場還在猶豫的時候,這份熱騰騰的基本面數據直接砸了出來。
[00:47] 第一季的EPS年增率竟然一口氣暴衝了114.39%。
[00:53] 沒開玩笑,這種爆炸性的獲利成長跟市場現在那種謹慎擔憂的氣氛完全是兩個極端。
[01:01] 那到底發生了什麼事?我們得先搞懂它現在的賺錢邏輯。
[01:06] 用一個五歲小孩都能瞄懂的比喻來說,
[01:09] 以前的C-Li就像是擠在老舊8吋小店面離賣評價快餐的廚房。
[01:15] 專接手機、筆電這種低毛利的電源管理晶片。
[01:19] 但現在,老闆直接砸錢不完了,他們正全面搬進空間更大,
[01:24] 設備頂規的12吋旗艦大廚房。
[01:27] 這個新廚房不賣便宜快餐了。
[01:29] 他們現在專門供應利潤極高的米其林大餐,
[01:33] 也就是專供電動車和AI伺服器的高階晶片。
[01:37] 這是一場徹頭徹尾,甩開價格割侯站的升級大秀。
[01:41] 既然是往米其林大餐升級,
[01:44] 那第一部分的重點,我們就來看看市場到底在怕什麼。
[01:49] 恐懼的源頭就是這個數字,48.22%,
[01:54] 這是他們今年第一季的毛利率。
[01:57] 對外資汗法人來說,毛利率跌破50%,
[02:00] 這個生死線簡直就是錦鱗大作啊。
[02:04] 大家立刻開始恐慌,覺得完了,
[02:06] 貴利是不是也被捲進中國車市的消價競爭?
[02:10] 是不是連定價全都叼了?
[02:13] 但來到第一個部分的逆向觀點,
[02:16] 我們要告訴你,市場完全搞錯方向了。
[02:19] 毛利率掉到48.22%,真的是公司不行了嗎?
[02:25] 絕對不是!
[02:27] 這根本是一個被嚴重誤讀的隱藏彈簧,
[02:30] 更是升級前的陣痛期。
[02:33] 你聽聽董事長陳偉在法說會上是怎麼霸氣回擊的?
[02:37] 他說,8吋才能緊缺,
[02:40] 正是我們最渴望見到的催化劑。
[02:43] 這招真的太狠了,你知道嗎?
[02:45] 客戶本來都很懶得換設計,
[02:47] 但現在8吋才能又缺又貴,
[02:50] C利等於是拿著供應鏈的危機當武器,
[02:53] 直接逼著那些猶豫的客戶,
[02:55] 乖乖去認證毛利更高的12吋第四代輕產品。
[02:59] 這完全是一招完美推力啊!
[03:02] 這也完美解釋了他們單車價值,
[03:05] 為什麼會爆發?
[03:07] 大家都知道電動車現在殺價,
[03:09] 殺得血流成河,
[03:11] 但你看看規例,
[03:12] 他們的單車價值不但沒掉,
[03:15] 反而從原本的110美元一路狂飆,
[03:18] 長線目標甚至上看300美元,
[03:21] 憑什麼?
