[00:00] 直接切入正體,今天我們來深度猜解6693廣洪科
[00:05] 我們跳過所有的客套跟廢話,直接來看這家公司目前上演的極限雲霄飛車
[00:12] 你知道嗎?2025年全年這家公司交出的EPS還是虧損的
[00:18] 當時真的讓市場徹底驚嚇
[00:21] 但是當我們去剖析他們最新公布的2026年第一季財報時,情況反轉了
[00:27] EPS居然直接暴衝到1017元,計增率高達11.23%
[00:33] 這簡直是一場教課書級別的預期差逆轉
[00:37] 而且市場目前的定價顯然出現了極度誇張的挫殺
[00:41] 百分之115.16,你沒聽錯
[00:46] 這個極度暴力的數字是廣洪科在2026年5月繳出的單月營收年增率
[00:53] 直接創下了2.14億元的歷史新高
[00:58] 這股超強的推力,讓他們的股價從2021年
[01:02] 僅剩一塊多的大低股,一路狂飆到了目前的243元
[01:07] 現在市場的資金正在瘋狂追逐這個預期差帶來的動能
[01:12] 這也是為什麼我們今天必須立刻幫大家拆解這份機構報告與法說會內容
[01:18] 時間緊迫,我們馬上來搞懂他們的核心互成何
[01:22] 為了讓5歲小孩也能瞄懂廣洪科到底在賺什麼錢
[01:27] 大家想像一下,廣洪科就是一列配備了雙窩輪引擎的高鐵
[01:31] 首先,它的第一顆引擎叫MOSFET
[01:36] 也就是精養半廠效電經體
[01:38] 這就像是高鐵的煞車跟油門系統
[01:41] 負責精準控制電流什麼時候加速什麼時候停滯
[01:45] 再來,第二顆引擎是BLDC馬達驅動與散熱SOC
[01:50] 你可以把它當作是高鐵在高速運轉下的超級空調系統
[01:54] 不過呢,這類高鐵明明在2025年跑出了營收歷史新高的超快速度
[02:00] 卻意外撞上了一塊名為專利訴訟的巨大落實
[02:04] 車頭受損,年底結算賺來的錢幾乎全賠在了高昂的維修費上
[02:10] 那現在最欺動人心的是什麼?
[02:13] 這塊落實已經被徹底搬開了
[02:17] 維修費全部付清,現在整條軌道完全暢通
[02:22] 而且更可怕的是,這類高鐵並沒有單純只是回復原狀而已
[02:27] 他們趁著進場維修,全面換裝了最新最強大的燃料
[02:32] 也就是AI伺服器散熱,以及高壓直流HVDC技術
[02:37] 現在,這台裝備了雙渦輪散熱引擎的高鐵
[02:41] 正處於前所為有的無阻力狀態
[02:44] 準備在財報軌道上全速狂飆啦
[02:48] 好,接著我們進入第一部分,逆向觀點
[02:53] 一起來解碼市場到底發生了多嚴重的挫殺
[02:58] 既然公司的基本面這麼強悍,你一定會問
[03:02] 為什麼市場之前會出現這麼嚴重的脫節跟悲觀情緒
[03:06] 其實傳統保守的市場共識,現在還深陷在歷史科技
[03:11] 更告華碩的那場專利訴訟恐懼中
[03:14] 大家很怕客戶會把成本轉嫁給廣洪科
[03:18] 甚至覺得終端消費需求很疲軟
[03:21] 但是我們透過法說會數據得出的逆向觀點
[03:25] 卻清清楚楚的顯示,廣洪科的業務護程和根本毫發無傷
[03:30] 他們不僅完成了徹底的財務洗澡
[03:33] 手上握著的48V氣冷技術
[03:35] 更是接下來幾年被市場完全忽視的超級經積母
[03:40] 我來快速解釋一下剛剛提到的財務洗澡
[03:44] 廣洪科在2025年上半年
[03:46] 迫迫提煉了高達1.641台幣的訴訟準備金
[03:51] 這在會計操作上是非常極端的防禦手段
[03:54] 等於是把未來所有可能的壞賬跟法律風險
[03:58] 一次性在帳面上炸開全數吸收掉
[04:02] 這代表什麼?
[04:03] 這代表市場最害怕的那種遙遙無奇的常委風險
[04:07] 已經徹底被清空了
[04:09] 他們身上純重的財務包袱早就卸下了
[04:12] 所以如果現在市場還在幻想
[04:15] 下游客戶會因為這場訴訟而抽單
[04:18] 那真的錯的離譜
[04:20] 林明璋董事長在最新法說會上可是親口證實
[04:24] 自今年3、4月起
[04:26] 客戶需求已出現顯著的主步增加
[04:29] 客戶不但沒有跑
[04:30] 反而因為廣洪科在Mosfet
[04:32] 跟散熱技術上的不可替代性
[04:35] 僅僅黏制他們
[04:37] 互承和越來越深
[04:38] 客戶寧願一起面對法律麻煩
[04:40] 也絕對不願換掉這麼高效能的散熱方案
[04:44] 這就帶出了市場
[04:46] 另一個非常嚴重的認知錯位
[04:49] 現在的資本市場只要一聽到AI伺服器
[04:53] 就瘋狂迷信業量技術
[04:55] 明天就會全面接管世界
[04:57] 這真的是一個巨大的幻覺
[05:00] 現實狀況是
[05:02] 從傳統氣冷要全面升級到高階業冷架構
[05:06] 資料中心面臨的是
[05:08] 極高的基礎設施改建成本
[05:10] 還有超可怕的漏水風險
[05:13] 這個過渡期少說也要三到五年
[05:16] 而在這段漫長的期間內
[05:18] 為了壓制越來越熱的AI晶片
[05:21] 高階的氣冷
[05:22] 反而成為了絕對的硬性缸虛
[05:25] 也就是說
[05:26] 廣洪科現在正舒舒服服敵作響這波
[05:30] 夜冷普及前氣冷最後的狂歡
[05:33] 他們已經成功導入了
[05:34] SATA 48組氣冷散熱櫃
[05:37] DLDC系統方案
[05:39] 還有大量應用在伺服器周邊的SOC
[05:42] 散熱風扇驅動IC
[05:45] 市場真的完全低估了
[05:46] 氣冷在這個過渡期的龐大爆發力
[05:49] 而這正是驅動廣洪科
[05:51] 2026年營收
[05:53] 能夠呈現三位數暴力成長的
[05:55] 超級金雞母
[05:56] 我們馬上進入第二部分
[05:58] 財務法醫檢視
[06:00] 來看看這些一刀必命的冷數據
[06:03] 故事說得再好聽
[06:05] 戰略藍圖畫得再漂亮
[06:08] 最終都得回到財報上見真章
[06:11] 現在我們化身為財務法醫
[06:13] 切開這家公司
[06:14] 近24個月的核心會計指標
[06:18] 直接看第一個一刀必命的數字
[06:21] 162.45%
[06:23] 這是廣洪科
[06:25] 2026年第一季合約負債的年增率
[06:28] 什麼是合約負債
[06:30] 講白惡就是客戶急著拿真金白銀
[06:33] 預付給你的定金啦
[06:35] 從去年雙位數的負層漲
[06:37] 直接暴力拉升到162%的暴增
[06:41] 這絕對是下游客戶
[06:43] 正在恐慌性搶奪廣洪科產能的鐵證
[06:46] 這數據可是完全無法造假的
[06:49] 第二個殺手級數字
[06:51] 是114.65天的純貨周轉天數
[06:55] 大家想想喔
[06:56] 當一家公司的預收訂單
[06:58] 狂飆162%
[07:00] 第一季營收以5.14億元創下歷史新高
[07:04] 同時它的庫存周轉
[07:06] 居然還能完美控制在
[07:07] 114天這種超健康的水位
[07:11] 這在財務解剖學上
[07:12] 就叫做戴維斯雙級錢的完美營運共振
[07:16] 這代表他們生產出來的晶片
[07:18] 一離開封測廠的產線
[07:21] 就被客戶秒殺提貨
[07:22] 完全沒有滯銷的風險
[07:24] 這支獲利實質增長的巨獸
[07:26] 已經徹底蘇醒了
[07:28] 那麼這場狂飆的終點到底在哪
[07:31] 我們攤開殘酷的估值數據來看
[07:34] 如果退去AI光環
[07:36] 回到傳統評價的雄勢情境
[07:38] 用30倍本益比來看
[07:40] 目標價是114元
[07:42] 但如果一切符合剛剛法說會的預期
[07:45] 給予45倍本益比的基準情境
[07:48] 目標價就是234元
[07:50] 而一旦市場資金的風狗浪湧入
[07:53] HBDC產品的大單真的落地了
[07:55] 對標頂級散熱廠55倍本益比的牛市情境
[07:59] 那目標價將上看非常驚人的357元
[08:04] 不過這時候我們必須給大家一個
[08:06] 極度現實的震撼教育
[08:09] 你看目前243元的股價
[08:12] 其實已經完美甚至稍微透支地消化了
[08:15] 剛剛說的234元基準情境了
[08:18] 這意味著什麼
[08:19] 這代表如果廣洪科
[08:21] 要向357元的牛市目標價發起衝鋒
[08:25] 單靠現在的氣冷風扇故事
[08:27] 絕對是不夠的
[08:28] 他們必須在接下來的財報季中
[08:31] 向市場完美展示他們1000KW
[08:34] 級別的高壓直流HVDC魔法
[08:37] 拿出無可辯駁的高暴力實機才行
[08:40] 來到最後的第三部分
[08:42] 逆向紅軍測試
[08:45] 我們必須無情地檢視
[08:47] 有哪些致命風險足以毀滅這個增長神話
[08:52] 作為專業的風險管理者
[08:54] 我們決定不能只看好的一面
[08:56] 到底有什麼物理或地緣風險
[08:58] 能瞬間摧毀這套完美的劇本
[09:01] 有三個
[09:02] 第一
[09:03] 如果NVIDIA GB200的
[09:05] 一冷相關良率突破速度超乎預期
[09:08] 提早在2027年底前
[09:10] 就全面扼殺了高階氣冷的需求
[09:13] 第二
[09:14] 中美貿易戰祭出關稅大棒重創供應鏈
[09:17] 如果你發現廣紅科的營收賬款天數
[09:20] 異常標破80天
[09:22] 這絕對是資金斷鏈的壞賬前兆
[09:25] 第三
[09:26] 如果歷史科技的專利案引發連作法
[09:29] 向其他採用廣紅科元件的國際品牌
[09:31] 發起禁收令
[09:33] 這三個風險只要發生任何一個
[09:36] 神話就會瞬間崩塌
[09:38] 所以我們給大家最後
[09:40] 也是最嚴格的保命生存戰術
[09:43] 請你牢牢記住這個數字
[09:46] 月營收2億元台幣的生命線
[09:50] 每個月10號公佈的營收報告
[09:52] 就是你的最高警報系統
[09:54] 只要未來有任何一個月的營收
[09:56] 意外跌破2億元這個絕對生死線
[10:00] 千萬不要猶豫
[10:01] 這代表拉貨力道遭遇了嚴重逆風
[10:04] 請立刻按下彈射討生有
[10:08] 總結來說
[10:09] 廣紅科從訴訟虧損的深淵
[10:12] 一路逆襲
[10:13] 用強悍的使營收跟合約負債
[10:17] 粉碎了市場的偏見
[10:19] 這真的是一場無比精彩的財務戰役
[10:23] 但在我們結束今天這場深度拆解之際
[10:27] 我想留下一個問題讓大家去深思
[10:30] 幾年後
[10:31] 當夜冷技術的去大狂潮
[10:34] 無可避免地徹底席捲資料中心時
[10:37] 這列目前正在全速狂飆的
[10:40] 雙渦輪高鐵
[10:42] 究竟是會被時代的洪流淹沒溺水
[10:45] 還是能憑藉著他們最底層的麻達驅動技術
[10:49] 迎來下一次的震撼進化呢
[10:53] 這份報告的拆解就到這邊
[10:55] 我們下次見
