[00:00] 大家好,投资不想随便钻,锁定价值股雷达。
[00:04] 很多人一听到地乐发电,就会猛摇头,心里肯定觉得,那种东西都是看天吃饭的了。
[00:11] 大家普遍认为,这根本就是靠运气的生意,不过最近有一家叫做佛沃的新创公司。
[00:16] 他们才刚挂牌上市,就一口气募到了22亿美金。
[00:20] 这个金额可是相当惊人的数字。
[00:22] 重点是FurFur到目前为止,连那么一度电都还没有真正卖出去过。
[00:27] 雷达今天就要好好地跟你讲清楚。
[00:29] 到底整个华尔街市场现在是在赌他什么?
[00:32] 我们首先来看看财报上最核心的三个关键数字。
[00:36] 这对股价未来的发展非常重要。
[00:38] 这次挂牌上市,总共募支了高达22亿美金。
[00:41] 这代表市场上,其实有大把的资金在等着卡位。
[00:45] 可是你要知道他们单击的资本支出,就很很烧掉了1.728亿美金。
[00:49] 这个烧钱速度可不是开玩笑的。
[00:52] 而且单击进准来到了31810万美金。
[00:55] 你仔细上上看就知道,这完全是入不付出的状态。
[00:58] 钱一直像是丢进水里养,不断往外丢。
[01:01] 最夸张的是,他们连一度店都还没有开始卖。
[01:04] 那么服务啊,这家公司到底想干嘛?
[01:07] 其实他们的野心极大,就是想把传统地热彻底翻转。
[01:11] 他们要把原本像是一张靠运气的天然财卷,
[01:14] 转变成一座可以精密控制的现代化制造业工厂。
[01:17] 公司目前的状态就是还没开始卖店,
[01:20] 不过他们已经把目标14亿在2026年第四季,要首都发店。
[01:24] 还有一个关键就是要把单位成本,
[01:26] 一路压缩到每千瓦只有三千美金的甜蜜点。
[01:29] 雷达跟你讲看这种公司,你绝对不能用看一般传统电力股,
[01:33] 那种等着配席的眼光去衡量,
[01:36] 因为他现在卖给投资人的根本不是稳定股息,
[01:39] 他卖的是一种能够把梦想落地的超强执行力。
[01:42] 市场上对于绿垫的需求大家都在疯狂含却,
[01:46] 现在真正的问题是他到底能不能把产能给做出来。
[01:50] 这就是一场终端需求非常确定,
[01:52] 可是后续执行层面还没有完全定下来的工业化好堵,
[01:55] 这背后的细节还有对股价的影响,
[01:58] 我们后面一夜一夜慢慢拆解给你看。
[02:01] 现在到了工商服务时间,
[02:03] 如果先前看过的朋友想跳过,可以直接按底下的章节跳过。
[02:07] 很多朋友常常在底下留言,问我平常去用哪个平台来下单的,
[02:11] 我们自己长期在使用的就是营透证券这个全球理财平台。
[02:15] 这个系统不只连线了稳定度极高,
[02:17] 还能让我们直接跨海买到美国跟日本的重点交易市场。
[02:20] 对于我们这种必须紧盯全球供应链的实战交易者来说,
[02:24] 这绝对是一个非常强大而且好用的利息。
[02:27] 如果大家对这个我们每天都在用的美股券商有兴趣要开户,
[02:31] 非常欢迎点击影片下方说明栏里面的专属链解,可以帮助到我们。
[02:35] 或者,大家也可以直接拿起手机扫描画面中的条码,
[02:39] 亲自去体验看看营透证券各项强大的下单功能。
[02:42] 按照合约规定,这边还是要特别提醒大家,
[02:45] 刚刚讲的这些推广内容,绝对不构成任何的买卖推荐。
[02:49] 投资市场本来就伴随着不小的风险,
[02:52] 大家在把真金白银砸下去之前,一定要先做好非常谨慎的评估。
[02:56] 各位老朋友们,在做出任何投资决策之前,
[02:59] 务必要先寻求专业独立的财务件以并且强越网站上的风险声明。
[03:03] 最后,我也要非常诚实地跟大家报告,
[03:06] 我本身就是营透证券的客户,
[03:08] 我们双方有签订专属的点击付费合作协议。
[03:12] 只要大家透过影片下方的专属链解点击过去,
[03:15] 营透证券就会支付我们频道一笔小额的推广费用来维持营员。
