[00:00] 各位投資朋友,歡迎來到這場超高張力的財報解析。
[00:04] 今天我們要直接來拆解光學巨頭大立光,也就是三零零八這份最新的法說會報告。
[00:12] 這絕對不是那種念念數字的普通業績發布哦,這是一場充滿預期落差超級血腥的生存戰。
[00:21] 沒錯,我們直接切入最核心的重點。
[00:24] 大家應該都有注意到大立光的股價在法說會前後真的是劇烈震盪,
[00:28] 盤狀甚至一度亮燈漲停,直接撞上了4345元這個極端的股價天花板。
[00:35] 但在這波看似瘋狂暴漲的背後啊,其實隱藏著極大的基本面拉扯。
[00:40] 所以今天我們就是要用法醫級的超嚴格標準,來幫大家檢視這份財報到底藏了什麼秘密。
[00:47] 好,我們立刻來看這一組,會讓你以為自己眼花看錯的驚人數字,352%對決1%。
[00:55] 市場第一眼看到第二季稅後淨利高達46.7億元,哇,年增率衝上352%。
[01:04] 很多人馬上就興奮了,以為基本面贏來了史詩級的大爆發。
[01:08] 但我必須說,這根本就是會計數字做出來的幻象。
[01:12] 等一下,你說這是幻象?
[01:14] 絕對是,你仔細去看本頁的核心指標,也就是營業毛利,年增率其實只有微乎其微的一趴而已。
[01:23] 那你一定會問,暴增三倍多的淨利到底是哪來的?
[01:26] 其實說穿了,第一,是因為去年同期,大力光任列了42.2億元的歷史級會損,所以機器被拉得超級低。
[01:36] 第二,大力光滿手都是現金啊,高達1242億元。
[01:41] 光是這一季靠閒置現金理財賺的利息和匯兌收益,就高達9.5億元。
[01:48] 這根本是靠理財撐出來的嘛,
[01:50] 它們本頁的毛利率甚至已經連續三個季度跌破50%的大關了。
[01:56] 嗯,既然手機本頁面臨這麼大的瓶金,那為什麼市場還願意給出這麼高的估值呢?
[02:03] 這就必須講到這次法說會上的最大經濟了。
[02:07] 我們用一個無碎小孩也能聽懂的隱喻來解釋給大家聽。
[02:11] 過去啊,大力光就像是世界頂級的微型相機雕刻時,
[02:16] 專門打磨那種極致清晰的塑膠晶片,
[02:19] 但是現在,它們正在開啟一個全新的超狂復業,
[02:23] 準備要成為AI時代光線的超級水管工。
[02:27] 也就是現在市場上炒得最火熱的CPO,共同風裝光學。
[02:32] 沒錯,就是它。大家想哦,AI晶片在傳輸海量資料的時候需要光速對吧?
[02:38] 大力光現在在做的,就是把光線精準的連接起來。
[02:42] 當其他競爭對手的水管董事堆不準,常常漏光的時候,
[02:45] 大力光這個後進者居然只花了短短十個月,
[02:49] 就直接搶下手帳量產型客戶的訂單,真的很誇張。
[02:53] 那你一定很好奇它們到底是怎麼做到的,
[02:56] 靠的就是這種讓人毛骨悚然的精準度0.3微米。
