[00:00] 各位直接切入正題
[00:01] 今天我們要看的是
[00:02] 代號2308的台達電
[00:05] 等一下你看到他們最新公布的數字了嗎
[00:07] 2026年上半年
[00:09] EPS竟然直接衝上17.59元
[00:12] 沒錯 這數字真的太誇張了
[00:15] 光是上半年的獲利
[00:16] 就已經超越台達電公司
[00:18] 歷史上任何一整年的獲利總和
[00:20] 這絕對是近期法說會上最大的驚奇
[00:23] 進入第一部分
[00:24] 震撼開場與核心模式
[00:27] 我們來拆解這半年的獲利
[00:29] 到底是怎麼超越歷史新高的
[00:32] 身為一個嚴謹的數據控
[00:33] 我必須問
[00:34] 這種爆發式成長到底是怎麼辦到的
[00:37] 基礎設施部門的營收年增率高達78%
[00:41] 營業淨利更是暴增121%
[00:44] 這根本是一頭獲利怪獸
[00:46] 焦點必須放在這個17.59元的上半年
[00:49] EPS年增率是驚人的89%
[00:52] 而且根據最新指引
[00:54] 台達電的AI相關產品營收占比
[00:56] 已經一舉突破25%大關了
[00:58] 這就是推動獲利直變的最強引擎
[01:01] 我們用個五歲小孩也能懂得比喻
[01:04] 來拆解這套核心商業模式
[01:07] 台達電現在就像是
[01:09] 全世界最頂級的超級電力與降溫管家
[01:13] 你想想看
[01:14] 全球科技巨頭都在瘋狂採購
[01:17] 那些極度耗電
[01:18] 發熱量極其驚人的超級大腦
[01:21] 也就是AI伺服器
[01:23] 那如果沒有人來控制高壓電源
[01:25] 跟散熱會怎樣
[01:26] 這些價值連成的超級大腦
[01:28] 會在幾秒鐘內直接燒壞罷工啊
[01:31] 而台達電這位管家
[01:33] 不僅能精準輸送高壓電力
[01:35] 還拿著最先進的
[01:37] 超強散熱水冷系統替大腦降溫
[01:40] 這就是他們掌握市場命脈的核心邏輯
[01:44] 接下來進入第二部分
[01:45] 財報法醫與法人狙擊
[01:48] 準備揭開隱藏在華麗外醫下的骨感現實
[01:52] 暫停一下盲目的樂觀
[01:54] 換我的財報法醫工具箱出動了
[01:57] 第一道紅燈警訊
[01:58] 資本支出從461億元台幣
[02:01] 暴增到700億
[02:03] 第二 第二季毛利率從第一季的37.0%
[02:07] 掉到了35.6%
[02:09] 第三 營業淨利率也滑落到16.7%
[02:12] 可是營收市創歷史新高的1832億啊
[02:16] 營收創新高沒錯
[02:17] 但管理層還做了一個極度激進的快計變動
[02:20] 他們把所有AI相關生產設備的
[02:23] 折舊年限從五年直接縮短到三年
[02:25] 這雖然提升了未來的抗風險能力
[02:28] 但在短期內絕對會大幅加重折舊費用的負擔
[02:32] 接下來是Q&A狙擊手事件
[02:35] 法術會上機告法人可是毫無流情的開火
[02:39] 直接質疑交通部門
[02:41] 也就是電動車相關業務
[02:43] 單既營收年減了23%而且持續虧損
[02:47] 還有工業自動化部門竟然也由影轉虧
[02:50] 非AI業務根本是面臨嚴峻挑戰
[02:53] 這該怎麼解釋
[02:55] 管理層當時立刻進行了防禦
[02:57] 強調車用電動化的長期趨勢沒有改變
[03:00] 業務一定會回來
[03:02] 目前團隊正全力優化設計
[03:04] 和替換關鍵零件來降低成本
[03:06] 甚至霸氣承諾自動化部門
[03:08] 在2026年下半年就會重新恢復營利
[03:11] 這就帶出了我們的逆向觀點
[03:14] 市場現在陷入了過度悲觀的盲區
[03:18] 剛才你提到了毛利率計減1.4個百分點
[03:21] 其實是因為研發和消管費用
[03:24] 計增了12%到16%
[03:27] 這是在為龐大的公布應求
[03:30] 提前投資技術壁壘
[03:32] 美國部分州政府像是紐約州
[03:34] 對資料中心的耗能限制指令
[03:37] 市場很擔心這會拖累建築進度
[03:39] 完全是過度解讀
