[00:00] 大家好 今天我們要來當一次財務法醫
[00:04] 一起解開今年資本市場裡
[00:06] 最讓人摸不著頭緒的財報謎團之一
[00:10] 我們要帶大家層層解碼微強電
[00:13] 也就是IEI
[00:14] 在最近財報裡那些極度矛盾
[00:17] 卻又充滿戲劇張力的營運數字
[00:21] 沒錯 我們直接切入核心
[00:23] 一家科技公司的毛利率
[00:25] 怎麼會在單月營收暴增92%的潛系
[00:29] 直接崩跌到歷史低點呢
[00:31] 這絕對是現在所有投資人心裡最大的問號
[00:35] 今天我們就要撥開這些表面的雜音
[00:37] 挖出背後的底層邏輯
[00:39] 這到底是一場災難級的獲利崩盤
[00:42] 還是其實是一次極度高明的戰略大佈局呢
[00:46] 我們先來看看第一部分
[00:48] 財報的冰與火之歌
[00:50] 這真的是毛利率最古
[00:53] 跟營收噴發的極端對決
[00:55] 讓我們先回到這場財務法醫學的案發現場
[01:00] 28%
[01:01] 這個讓人心驚膽跳的數字
[01:03] 是威強電2026年第一季的毛利率
[01:07] 老實說 對價工業電腦大廠來講
[01:09] 這個破底的數字
[01:11] 確確實實嚇壞了整個資本市場
[01:14] 很多法人跟投資人當時都陷入恐慌
[01:17] 覺得 哇 基本面是不是徹底瓦解了
[01:21] 但非常耐人尋味的是
[01:23] 就在短短季週之後
[01:25] 他們5月份的營收居然上演了一場
[01:28] 超暴力的反撲
[01:30] 單月營收年增率高達92.4%
[01:35] 直接衝上45個月來的新高
[01:37] 來到8.89億元新台幣
[01:40] 這種一下冰 一下火的極端反差
[01:43] 到底想告訴我們什麼
[01:46] 要搞懂這種劇烈波動
[01:48] 我們得先了解他們的商業模式
[01:51] 你可以想像一下
[01:52] 一般的消費級電腦
[01:54] 就像是塑膠樂膏
[01:56] 雖然便宜可以大量製造
[01:58] 但相對脆弱
[02:00] 可是威強電做的完全不一樣
[02:03] 他們打造的是專門給手術室
[02:05] 或者是跨國高鐵
[02:07] 這類嚴苛環境使用的太合金堡壘
[02:10] 不僅要防暴
[02:12] 還要能承受極端環境
[02:14] 而現在更關鍵的是
[02:16] 他們正在幫這些堡壘
[02:17] 裝上超級聰明的AI大腦
[02:21] 這就帶我們進入了第二部分
[02:24] 邊緣AI的轉型之戰
[02:27] 看看他們怎麼把基礎設施落地變現
[02:31] 管理層在法說會上有提到
[02:34] 揮達很出名的AI五層半高架構
[02:38] 很有意思的是
[02:40] 威強電非常明確地表示
[02:42] 他們不甘心只停留在
[02:44] 第三層的基礎設施
[02:47] 而是要直接殺進
[02:48] 利潤最肥美的第五層
[02:51] 也就是應用層
[02:53] 他們現在手上的王牌武器
[02:55] 就是全新的人型機器人控制
[02:59] 大家要知道
[03:00] 這可不是隨便畫大餅的簡報概念
[03:03] 這些都是實時在在準備出貨的訂單
[03:07] 今年
[03:07] 他們預計要出貨
[03:08] 多達3到4萬台的高階視訊系統
[03:11] 而且還跟AMD合作推出了
[03:13] 最新的自主移動機器人平台
[03:16] 再加上年底準備量產的
[03:18] 德國鐵路長單
[03:19] 以及正在等FDA認證的
[03:21] 高階醫療內視鏡
[03:23] 你看這是一個非常具體
[03:25] 已經在排程上的落地計畫
[03:28] 為了撐起這麼多龐大的專案
[03:31] 即便第一劑毛利面臨陣痛
[03:33] 管理層也完全沒有退縮的意思
[03:36] 相反的
[03:37] 他們居然逆勢砸下
[03:39] 超過23億元新台幣
[03:41] 大手筆擴建桃園搖媒廠
[03:43] 還有越南廠
[03:45] 你想想
[03:45] 在毛利壓力這麼大的時候
[03:47] 還敢這樣花錢
[03:49] 這是不是強烈暗示了
[03:50] 他們手上其實握有能見度極高的廠單
[03:54] 所以才急需未來龐大的產能來支撐呢
[03:58] 接著我們來看第三部分
[04:00] 市場上的多空大辯論
[04:03] 通膨怪獸對決監管虎成河
[04:06] 既然動作這麼大
[04:07] 華爾街刊罰人權
[04:09] 當然不會馬上全盤買單
[04:11] 所以先在市場上
[04:12] 分成了兩派極端看法
[04:14] 看空的一派
[04:15] 死盯著翻倍的記憶體成本
[04:18] 還有鴻海危機造成暴漲的運費
[04:20] 認為這絕對會徹底壓垮
[04:22] 微長電的獲利結構
[04:24] 但是呢看多的一派確堅信
[04:26] 下半年那些高毛利的 AI 專案一旦放量
[04:30] 營收規模甚至有望突破 80 億元
[04:33] 到時候賺進來的絕對利潤
[04:35] 輕輕鬆鬆就能把上漲的成本給蓋過去
[04:38] 不過
[04:38] 我們在這裡想提供大家另一個視角
[04:41] 一個市場似乎完全忽略的關鍵點
[04:44] 那就是歐盟的 CRA
[04:46] 也就是網路韌性法案
[04:48] 這是一項非常嚴苛的歐洲資安法規
[04:51] 而微強電早就投入大量資源
[04:53] 準備取得合規了
[04:55] 這代表什麼
[04:56] 這等於是他們在相對封閉的歐洲市場裡
[04:59] 先幫自己挖好的一條又深又寬的護城河
[05:03] 一旦順利拿到認證
[05:04] 他們就會握有絕對的定價權
[05:06] 到時候要把成本轉嫁給客戶
[05:08] 根本不是問題
[05:10] 好再來是第四部分
[05:12] 我們進入最精彩的
[05:14] 財務法醫結碼
[05:16] 來看看資產負債表裡面的矛盾對決
[05:20] 深入挖掘資產負債表後
[05:23] 我們發現了兩個極端
[05:25] 而且看起來超級矛盾的數字
[05:27] 首先
[05:28] 存貨居然一路狂飆到令人炸蛇的30.11億元
[05:33] 一般來說
[05:34] 這可是產品賣不出去
[05:36] 准便面臨死亡螺旋的恐怖訊號啊
[05:39] 可是
[05:40] 慢著
[05:41] 這個數字卻完美對應了另外一項創紀錄的數據
[05:45] 那就是高達5.41億元的合約負債
[05:49] 為什麼合約負債這麼重要
[05:51] 其實在會計學上
[05:53] 合約負債說白了
[05:54] 就是客戶為了怕拿不到貨
[05:57] 提早塞給你的龐大定金
[05:59] 有了這個鐵證
[06:00] 我們就可以確定
[06:02] 那30億的存貨根本不是賣不掉的死水
[06:05] 這完全是為了因應第三季的大量交貨
[06:08] 並且用來對抗原物料通膨
[06:10] 所布下的一部超完美防禦性提前備料戰略
[06:15] 第五部分
[06:16] 我們來做個壓力測試情境
[06:18] 推演一下可能會發生的三大斷點
[06:22] 雖然前面的邏輯聽起來天意無縫
[06:26] 但為了保持客觀
[06:27] 我們還是得嚴格地做一下壓力測試
[06:30] 想像一下
[06:31] 如果企業端的 AI 基礎設施預算突然凍結
[06:35] 或是剛剛提到的醫療法規跟資安審查卡關了
[06:39] 又或者遇到地緣政治黑天鵝
[06:41] 導致高階晶片斷供
[06:43] 只要其中一項發生
[06:45] 他們剛砸大錢蓋好的廠房
[06:47] 可能瞬間就會從經積母變成
[06:49] 脫垮獲利的超級大包袱
[06:51] 這都是我們不能忽視的風險
[06:53] 我們把這些變數整理成這個估值矩陣
[06:57] 你看
[06:58] 目前大約落在 82 元上下的股價
[07:01] 其實已經完美反映了中間這個基準情境
[07:06] 這告訴我們什麼
[07:07] 這表示如果你現在絕併投資
[07:10] 你實質上就是在壓住
[07:11] 他們能夠完美閃避剛才說的那些風險
[07:15] 並且順利走向高毛利率的牛市情境
[07:19] 最後
[07:20] 第六部分
[07:21] 我們為大家準備了投資行動清單
[07:25] 那麼隨著關鍵的第二季財報季即將開獎
[07:29] 我們到底該怎麼做
[07:30] 請大家務必緊盯這三個重點
[07:33] 第一
[07:33] 觀察接下來六七月的營收
[07:36] 能不能穩穩站在七到八億元以上的高原區
[07:40] 第二
[07:40] 去查一下研調機報的數據
[07:42] 看看記憶體這些零組件的價格
[07:44] 是不是真的開始降溫了
[07:46] 最後也是最重要的一點
[07:48] 等 Q2 財報一出來
[07:50] 馬上檢查他們的營業利益率
[07:53] 有沒有強勢回升
[07:54] 這將是檢驗他們到底有沒有定價權的最佳照搖勁
[07:58] 總結今天的解析
[08:00] 種種財務法醫學的證據都顯示
[08:03] 這是一家滿手現金抱著龐大戰略存貨
[08:07] 而且已經全副武裝準備上陣的企業
[08:10] 但隨著 Q2 營運數據越來越近
[08:13] 大家真的要好好問自己一個問題
[08:16] 這次短暫的毛利崩盤
[08:18] 到底是一個危險的價值陷阱
[08:20] 還是新一代 AI 機器人霸主
[08:22] 即將升空的戰略發射台呢
[08:25] 市場有沒有可能因為第一季的難看數字
