[00:00] 各位,今天廢話不多說,直接切入正題
[00:03] 歡迎來到這場極致深度的禁止調查解析
[00:07] 我們今天的唯一目標就是要來徹底解構
[00:10] 這支被視成嚴重低估的巨獸
[00:12] 也就是股票代號9945的潤太創新
[00:16] 沒錯,這局都會是你今年聽過最刺激的財報解剖
[00:20] 我們又把那些蒙蔽華爾街跟散戶的數據迷霧
[00:23] 給它徹底徹底的撕裂
[00:25] 帶你直擊隱藏在資產負債表最深處的龐大針上
[00:30] 我們先來看這張2026年第一季的財報快兆
[00:34] 說真的,這數據令人極度恐懼
[00:37] 潤太新的EPS只有0.99元
[00:40] 單計獲利年減率居然高達驚人的-276.79%
[00:46] 這在我們的量化模型裡絕對是個血淋淋的紅色警報
[00:50] 等等,這正是市場認知失調的開始
[00:54] 當散戶被這副-276.79%嚇到瘋狂拋售的時候
[00:58] 他們完全沒意識到就在短短一個月後
[01:01] 一個總消高達6000億新台幣的超級大案
[01:04] 南港之星即將啟動
[01:06] 這可是足以撼動減個台北市不動場板塊的核彈極力多
[01:11] 所以我們到底該怎麼定義現在的潤太新
[01:15] 用一個5歲小孩也能聽懂的隱喻來說
[01:18] 現在的潤太新根本就是一艘偽裝成破爛渡輪的
[01:23] 核動力航空母艦
[01:24] 散戶跟整個市場都盲目的緊盯著甲板上
[01:28] 那句因為連準會高利率海風而生鏽的雷達
[01:32] 也就是南山人獸的未實現損失
[01:35] 但他們完全沒發現
[01:36] 就在船艙底下藏著全台灣最賺錢的印鈔機
[01:40] 正在轟嚨嚨地運作
[01:43] 完全命中
[01:44] 市場長年以來都把它非常僵化的定義為
[01:48] 一檔深陷公債尼角的受險概念股
[01:52] 但殘酷的現實是
[01:54] 透過這次法說會爆出的最大驚奇
[01:56] 我們發現它的底層架構早就全面進化了
[02:00] 它已經實質轉變成
[02:02] 霍國神山與高科技廠房擴產的最強軍火商
[02:06] 這絕對是一個擁有極大
[02:08] 不對稱上漲空間的雙引擎巨獸
[02:11] 基於這種嚴重的市場錯位
[02:13] 我們的研究團隊給出了最嚴格的交易評級
[02:17] strong by 強力買進
[02:19] 確信度高達八點五分
[02:21] 滿分是十分喔
[02:23] 不過要讓這個強勢評級成真
[02:25] 決定股價命運的唯一關鍵變數只有一個
[02:29] 那就是這六百億旗艦大案
[02:31] 南港之星的定價跟溢價能力
[02:33] 只要它能以每坪
[02:35] 150萬到170萬的破記錄天價創造熱銷
[02:39] 市場對它現金流的所有疑慮
[02:41] 將會在一瞬間徹底粉碎
[02:44] 好 馬上進入第一部分
[02:46] 財務法醫與Q&AG極守
[02:50] 各位 準備好解剖最真實的資產負債表數去
[02:55] 我們要直接進入這場極致的禁職調查了
[02:59] 首先我們必須拿著
[03:01] 放大進檢視營建股的命脈
[03:04] 合約負債
[03:05] 這邊簡單幫大家科普翻譯一下這句形話
[03:08] 合約負債嘛
[03:10] 就是客戶買預售屋的時候先付的錢
[03:13] 這比錢在房子還沒蓋好交屋錢
[03:16] 在賬面上叫做負債
[03:18] 但它其實代表了公司未來的訂單能見度
[03:22] 也就是未來十打十的確定營收
[03:25] 搞懂這點後
[03:26] 來看看我們挖出的致命數據
[03:29] 2026年Q1
[03:30] 亂太新的合約負債
[03:32] 年減高達負21.66%
[03:35] 而且存貨周轉率竟然只有0.27次
[03:39] 我要特別強調
[03:40] 這兩個超級嚴峻的數據
[03:42] 管理層在法說會上
[03:43] 可是隻字未提
[03:46] 這能都不是未來營收
[03:47] 幾張斷吹的致命紅旗嗎
[03:50] 這就是空頭演算法
[03:51] 嚴重誤犯的地方
[03:53] 這其實只是一個V型的快計幻象
[03:55] 合約負債大減
[03:56] 純粹是因為潤太CD Park
[03:58] 這些大案剛好進入大量交屋期
[04:00] 把負債轉成營收
[04:01] 您等著看
[04:02] 下半年676億的刑案一推
[04:04] 合約負債絕對會迎來
[04:06] 超卸劇性的狂飆反轉
[04:08] 不過市場的恐慌也是毫無根據
[04:11] 我們還原一下法說會上
[04:13] 最緊繃的Q&A狙擊手時刻
[04:16] 當時法人直接把槍口
[04:18] 對準總經理逼問
[04:20] 下週央行就要開會了
[04:21] 現在二手屋停滯
[04:22] 貸款這麼困難
[04:24] 你們建商到底怎麼活
[04:25] 面對這種直擊軟肋的尖銳狙擊
[04:28] 管理層完全沒有粉飾太平
[04:30] 他們直接承認了
[04:32] 防戴緊縮的嚴峻現實
[04:34] 但隨即展開了
[04:36] 急劇戰略縱深的反擊
[04:38] 他們不僅強調房價的僵固性
[04:40] 更直接亮出了
[04:41] 靈活的產品轉型網牌
[04:44] 管理層當場宣告
[04:46] 未來10年的推案儲備量
[04:48] 超過1500億元
[04:50] 為了規避央行7000萬豪宅
[04:53] 貸款成數的填化版
[04:55] 他們完美地進行了戰略轉向
[04:57] 開始主攻一到三方的圍形小宅
[05:00] 像華山松江這個案子
[05:02] 就是填補空窗期的圍形住宅
[05:05] 關鍵
[05:06] 而且千萬別忘了
[05:07] 南港育成廣場商辦
[05:09] 目前出租率已經破7成了
[05:11] 而且正在插彈全動出售
[05:13] 只要是彈成了
[05:14] 將會帶來極度龐大的
[05:16] 業外處分利益
[05:17] 根本是隱藏的大不完
[05:20] 這就帶出了我們的逆向觀點囉
[05:23] 市場現在盲目悲觀
[05:25] 覺得央行政策會摧毀營建股
[05:28] 但我們認為
[05:29] 這本質上是一場殘酷的
[05:32] 供給側改革
[05:33] 那些中南部槓桿
[05:35] 開太大的小建商會被洗出廠
[05:37] 而擁有卓越品質
[05:39] 跟信任溢價的潤太星
[05:41] 反而會吃下更大的市佔率
[05:44] 沒錯
[05:44] 而且更關鍵的隱藏Alpha在這
[05:47] 子公司潤紅金秘
[05:49] 受惠於台積電擴廠
[05:51] 它的預注工法定單能見度
[05:53] 直接看望到2028年
[05:55] 這道由高科技廠房工程
[05:57] 打造出來的現金油房火牆
[05:59] 市場現在居然完全沒有給予定價
[06:02] 既然市場定價錯誤
[06:03] 那我們就進入第二部分
[06:05] 估值對決與極端加厲測試
[06:09] 我們要用多維度模型
[06:11] 來為這支巨獸重新定價
[06:14] 針對這種高度複合的巨獸
[06:17] 看傳統本益比完全是廢物
[06:20] 我們必須動用SOTP
[06:23] 也就是分類加總估值法
[06:25] 簡單來說
[06:26] 就是把高現金流的營建本業
[06:29] 高波動的南山人獸
[06:31] 還有高成長用來對沖科技周期的
[06:34] 潤紅金秘
[06:35] 全部拆開來算
[06:37] 這樣才能徹底剝離
[06:38] 高科技營炸的潛財潛力
[06:41] 跟受險資產的波動風險
[06:43] 基於2026年極度保守預估的
[06:47] EPS 3.6元
[06:49] 我們推演了三種極端情境
[06:51] 第一
[06:52] 最惡劣的Berry房線
[06:53] 18.72元
[06:55] 這是假設連準會重啟升息
[06:57] 加上台灣房市崩盤的絕對鐵板
[07:00] 第二
[07:01] 合理價
[07:02] 30.60元
[07:03] 這是給予同業平均估值的均值回歸
[07:07] 第三
[07:07] 也就是最完美的瘋狂價
[07:10] 39.60元
[07:11] 這是在連準會深度降息
[07:14] 而且南港執薪
[07:15] 以天價秒殺完瞎的
[07:17] 完美金髮女孩情境下
[07:19] 市場資金瘋狂追逐現金流
[07:21] 所能推升到的極致價格
[07:24] 各位
[07:25] 真正的核心價值
[07:26] 其實在這裡
[07:28] 別忘了
[07:29] 潤太心雖然法說會沒提
[07:31] 但它的美股靜值
[07:33] 早就強勢回穩到40元了
[07:36] 現在股價大約才26.90元
[07:39] 股價靜值比只有可憐的0.67倍
[07:43] 這代表什麼
[07:44] 代表市場已經把最悲觀的劇本
[07:47] 完全priced in了
[07:48] 在這個左側位置建倉
[07:50] 你的下當風險與上漲暴潮比
[07:52] 高達1比3.5
[07:54] 這絕對是一個極度暴力
[07:56] 而且風險極度不對稱的交易布局
[08:00] 不過等等
[08:01] 先冷靜一下
[08:02] 作為嚴謹的數據狂
[08:04] 我們絕不能陷入確認貼物
[08:07] 馬上進入第三部分
[08:09] 事前驗失與致命風險
[08:12] 現在
[08:13] 我們要強制切換到
[08:15] 華爾街極端做空機構的視角
[08:18] 只是那些可能把這筆投資
[08:20] 推入深淵的致命點
[08:23] 如果空頭想要在2026年
[08:25] 徹底擊潰潤太心
[08:27] 他們有三條致命路徑
[08:29] 第一
[08:30] 連重會維持
[08:31] Higher for longer 高利率
[08:33] 引爆南山人受禁止枯竭
[08:36] 第二
[08:37] 南港之星受制於豪宅貸款天花板
[08:40] 賣不掉變成資金黑洞
[08:42] 第三
[08:43] 潤紅精密的預注廠遭遇缺電或停工
[08:46] 加上原物料暴漲反噬
[08:48] 徹底打破模擬紫櫃的神話
[08:51] 但說到底
[08:52] 除了那些宏觀經濟變數
[08:54] 我們更要看透實體物理的極限
[08:58] 在整套劇本最大的單一斷點
[09:01] 其實在於臺灣的實體勞動力極限
[09:04] 也就是缺工
[09:05] 沒錯
[09:06] 在嚴格的IFRS15壞記準則下
[09:09] 如果沒有營建移工
[09:10] 本土技工又出現斷層
[09:12] 房子只要蓋不出來
[09:14] 就一天無法任列營收
[09:16] 那些化大餅的1500億合約負債
[09:18] 永遠變不成真實利潤
[09:20] 這將直接摧毀華人街
[09:22] 對它的最後一絲信任
[09:24] 最後是終極的黑天鵝事前厭失
[09:28] 想像一下
[09:29] 假設現在是2026年底
[09:32] 我們這筆投資慘賠50%
[09:34] 死因會是什麼
[09:36] 當然很殘酷
[09:38] 壯大公安意外
[09:39] 潤太刑擁有高達36%
[09:42] 驚人回購率的核心互成合
[09:45] 完全是建立在34年來
[09:48] 零重大事故的極致信任上
[09:51] 萬一南港之行
[09:52] 甚至是台積電廠房
[09:54] 發生毀滅性的公安倒塌
[09:56] 這種品牌生育的瞬間破產
[09:59] 是10年都無法修復的永恆者價
[10:02] 啊 深呼吸
[10:04] 好 風險我們都看清楚了
[10:07] 來到最後的第四部分
[10:09] 催化劑與行動事蹟
[10:12] 現在我們要全力衝刺到終點線
[10:15] 給你未來幾個月
[10:16] 準備女機的甜蜜典語戰術代碼
[10:20] 各位 請死死盯住這三個日期
[10:23] 第一 8 月 10 號前公佈的 7 月營收
[10:26] 這是檢驗 Citi Park 大量入帳的暴增節點
[10:29] 第二 8 月中旬南港之行正式開案
[10:32] 到時候我們就會拿到最真實的
[10:34] 成交價跟去劃率印數據
[10:37] 第三 9 月下旬的央行理監事會議
[10:39] 只要對豪宅門檻有任何一絲放寬
[10:42] 都會是核彈級的超級利多
[10:45] 從充馬面來看
[10:47] 近期的盤事更是上演了精彩的土壤大戰
[10:51] 外資因為擔憂宏觀利率
[10:53] 正在進行無差別的盲目砍艙
[10:56] 但深入了解台灣房地省生態的本土
[10:59] 從名前跟投信
[11:00] 卻在底部展現了極度冷酷的承接意志
[11:04] 完全是利用外資的挫殺
[11:06] 在左側貪婪建艙
[11:09] 最後的具體戰略設定 聽好了
[11:12] 我們的進場支撐區間
[11:13] 抓在 24.50 到 25.50 元
[11:17] 但是絕對的庭孫鐵板架設定在 22.50 元
[11:21] 一旦帶量跌破
[11:23] 代表由我們沒看見的毀滅性風險發生
[11:26] 必須無條件清倉
[11:28] 而在獲利方面
[11:29] 第一階段的戰術目標
[11:31] 我們看向 32.20 元
[11:33] 先吃南港之星開案的利多
[11:35] 中長線的戰略目標
[11:37] 上看 39.00 元
[11:39] 耐心等待連準會降息
[11:40] 徹底釋放受險禁止壓力
[11:43] 這絕對是一場捕捉
[11:45] 巨獸價值重估的完美狩獵
[11:48] 所以最後的問題留給你們
[11:50] 市場究竟會不會醒悟
[11:52] 發現這是一艘
[11:53] 滿載高科技廠房訂單的印鈔航母
[11:57] 還是會有不可預測的黑天鵝
[11:59] 讓這艘大船在出港前就硬生生沉默
[12:03] 緊盯 8 月的催化季日曆
[12:05] 我們拭目以待
[12:06] 這份極致深度的禁止調查解析
[12:09] 就到這邊
[12:09] 祝各位交易順利
