[00:00] 各位投資朋友,立刻拉高你的專注力。
[00:03] 今天的深度解析,我們要直接切入一檔被市場嚴重誤判,
[00:08] 但急劇爆發性的圍觀估值炸彈。
[00:11] 也就是,聯誘金屬,代號7610.tw。
[00:15] 沒錯,大家千萬別把它當成普通的循環經濟概念股來看待。
[00:20] 我們現在面對的是一場圖跟股這兩種戰略金屬的完美風暴。
[00:25] 你現在看到的,是中美霸權博弈加上極端資源民族主義
[00:30] 正在徹底改寫全球供應鏈的定價權啊。
[00:33] 準備好進入這場地緣政治議價的超級循環了嗎?
[00:37] 我們直接開始。
[00:38] 首先看這個數字,10.87,這是對他們2026年第一季EPS的預測。
[00:46] 更誇張的是什麼?
[00:47] 單季獲利年增率高達2627.91%,我要特別強調哦。
[00:54] 雖然這兩個極度精整的數字,在這次法說會上並沒有被直接體積。
[00:59] 但透過我們法一級的財務猜減,這個非線性的爆發性增長是絕對有極可循的。
[01:06] 年增率將近30倍耶。
[01:09] 這數字簡直像是裝了火箭推進器一樣。
[01:12] 傳統資源回收那種穩扎穩打的線性模型,在這裡已經完全不適用了。
[01:17] 而且這次法說會爆出了一個最大的驚奇,就是極度殘酷的雙軌價格體系。
[01:25] 一邊是中國國內價格崩盤,另一邊卻是全球價格狂飆。
[01:31] 市場一開始真的嚇壞了,以為中國屯價暴跌會把全球報價一起拖下水。
[01:38] 結果管理層冷酷地揭開了這個雙軌制的真相。
[01:42] 現實超級殘酷啊。
[01:44] 中國從2025年初實施了極端的出口管制,這讓中國屯價跟全球徹底脫鉤。
[01:53] 現在中國內部的價格大概只有全球的50%,也就是說他們雖然大降價,但貨根本出不了國門。
[02:02] 這反而狠狠掐住了日本半導體廠,甚至美國軍工產業的煙候。
[02:08] 大家想像一下哦,如果全球科技跟軍工產業是一台極速超跑,
[02:15] 那銅和骨就是引擎裡面最無可取代的那顆特規太合金螺絲。
[02:23] 過去呢,所有車廠都去同一家最大最便宜的五金行買這顆螺絲。
[02:29] 那家五金行就是中國。
[02:31] 結果這家五金行突然趴一聲把鐵門拉下來,說為了照自己的跑車,
[02:36] 這螺絲無限期不賣了。
[02:39] 對,就在這個時候,連有金屬的角色瞬間變成了什麼?
[02:43] 它就像是全球唯一一家,擁有專利技術,
[02:47] 可以從報廢車輛中完美提煉重駐這顆螺絲的地下高科技兵工廠。
[02:54] 當美國國防部和日本半導體大廠急的向熱鍋上的螞蟻面臨斷鏈絕境的時候,
[03:00] 這家兵工廠不但能自己自足,還能用十倍價格把螺絲賣給這些絕望的買家。
[03:07] 各位,這早就不是什麼收費品的生意了,
[03:10] 這是掐作全球高階製造業命賣的勒索級別暴力模式。
[03:16] 所以綜合這些因素,我們直接給出的交易評級是
[03:20] strong buy,強力買進,確信度高達9.5分,慢分是10分哦。
[03:28] 但大家要注意,這檔股票未來的命運完全取決於一個最關鍵的點,
[03:33] 就是自由銷售比例能不能維持住,還有高質化股份認證放量的精準進度。
[03:40] 公司已經把自由銷售從早年的7%暴力拉升到現在將近50%,
[03:47] 成功水開了低毛利的代工。
[03:50] 接下來的重頭戲,就是看2026年7月15日正式啟動的股份大廠認證,
[03:56] 能不能順利通關。
[03:59] 好,我們進入第一部分,戰場與法醫檢視,
[04:03] 結碼財務數據背後的真相,
[04:06] 我們要用顯微鏡來嚴格檢驗管理層開出的擴張採測。
[04:12] 他們喊出平南廠2027年產能要倍增100%,
[04:17] 還要直接切入氧化屯、碳化屯粉這些深水區,
[04:21] 這底層數據真的撐得住嗎?
[04:23] 我們來看關鍵數據,存貨周轉率從0.48都降到0.23。
[04:30] 如果在傳統製造業,這絕對是滯銷的死亡警訊。
[04:34] 但在這裡,這是暴力的數學公式。
[04:37] 他們在原物料暴漲前用低價廢料建了龐大庫存,
[04:42] 這是非常聰明的戰略性資源囤積。
[04:45] 更瘋狂的是另一個數字,合約負債年尊率飆升了453.48%,
[04:51] 雖然這兩個具體的數據在法學會上沒有被明確點出來,
[04:55] 但財務報表是不會說謊的。
[04:57] 沒錯,這就是買方恐慌性搶料的終極鐵證啊,
[05:02] 有些貨甚至都還在海上飄或是空運途中,
[05:06] 買方就急著塞一大把現金把連有未來的產能給死死綁定了。
[05:11] 而且你知道嗎,財報裡還藏著一個高達74%的逆天毛利率,
[05:17] 這同樣是法學會上沒有特別提的精確數字,
[05:20] 但完全貪在第一季的財報裡了。
[05:23] 這背後的邏輯就是我們所說的零成本股礦鏈金數,
[05:28] 也就是說當他們在回收韓股的費合金時,
[05:31] 裡面大約含有6%到10作為年酌劑的股金屬。
[05:36] 對零有來說,這等於是免費拿到的零成本原料,
[05:40] 把它提存成高價粉末賣出去,直接100%轉換成純利潤。
[05:45] 這種降為打擊,那些傳統單一礦賣採訣的企業根本學不來。
[05:51] 不過呢,法人當難也不是省油的燈,
[05:54] 在法說會那種高壓緊湊的Q&A階段,
[05:58] 出現了一個超經典的狙擊手時刻。
[06:01] 有法人非常尖銳的開強提問,
[06:04] 請問子公司股產品的認證起到底什麼時候開始,
[06:08] 是不是因為良率出狀況所以才延期了?
[06:11] 這問題一出來,直擊公司未來成長動能的最痛點,
[06:15] 現場氣氛瞬間冷掉,竟崩到不行。
[06:18] 結果,董事長無用中的防禦簡直可以寫進教科書裡,
[06:23] 他很坦白的承認,純股產品的認證確實被延後了,
[06:28] 但是為什麼?根本不是良率問題,
[06:31] 是因為市場缺銅缺到瘋狂,客戶明明想賣純股,
[06:36] 但到處買不到銅啊,只好退而求其次,
[06:39] 直接把連有現有的股銅合金庫存全部掃光。
[06:44] 沒錯,他硬生生把一個表面上看起來是新產品認證延遲的負面利空,
[06:49] 完美反轉成現有產能被龐大擊破拘求擠爆的超級大強新增。
[06:54] 這完完全全證明了他們現在是主義賣方市場的絕對統治地位。
[06:59] 說到這裡,我們必須提出一個與華爾街完全不同的逆向觀點。
[07:04] 華爾街現在有一個超級致命的盲點,
[07:08] 他們一直過度樂觀地以為,
[07:10] 中國的出口管制只是暫時地緣政治籌碼,
[07:14] 只要中美高層吃個飯,握個手,隨時就會解禁。
[07:18] 這絕對是大錯特錯,這想法完全脫離了真實的物理極限。
[07:23] 你要知道,中國土礦剩餘可開採年限,現在只剩下短短的二十九年了。
[07:30] 而且礦石品位嚴重崩跌,開採成本正在純幾何幾數向上噴。
[07:35] 更關鍵的是,那十六家擁有出口許可的企業裡,
[07:39] 居然有高達十三家市軍工廠背景。
[07:43] 各位,這是中國面對資源枯竭而啟動的國安級防禦極致啊,
[07:48] 這絕對不是短期的陣痛,這是全球供應鏈已經不可逆的新廠態。
[07:55] 好,接著,我們進入第二部分,
[07:59] 估值對決貪婪對決安全編輯。
[08:03] 既然這條訂單互承和挖得這麼深,
[08:06] 我們就必須把低原政治溢價直接加進我們的混合估值模型裡。
[08:12] 我們以2026年法人預估的71.84元EPS當作基準,推演出三種極端情景。
[08:21] 第一種,便宜價,也就是我們說的Bury防線。
[08:25] 在最悲觀的總經崩潰情境下,
[08:27] 我們給它極度保守的20倍本益比,再打8折,價格落在1149元。
[08:34] 第二種,合理價,參考同業並扣掉流動性折價後,
[08:39] 給予29倍本益比,落在2083元。
[08:44] 最後,如果市場籌碼陷入極度狂熱,
[08:48] 給出跟中國廈門文業一樣的45倍瘋狂本益比,
[08:52] 那這個昂貴價將會一路飆到3232元。
[08:57] 但請大家立刻注意這個交易區間,
[09:01] 2495元到2550元。
[09:06] 我要特別提醒,這個非常精準的區間,
[09:10] 在法說會上是沒有被提出來的,
[09:13] 這是我們抓取7月初最新事況得到的數據。
[09:17] 真的要注意了,這代表目前的市價,
[09:20] 已經大幅越過了2083元的合理價,
[09:24] 現在正以非常陡峭的角度,直接往瘋狂價衝過去。
[09:28] 沒錯,這是一個強烈的警告信號,
[09:32] 市場已經高度,而且非常充分地把2026年的暴力預期給定價進去了。
[09:38] 你現在如果要去追高,安全邊際正在急速縮水,
[09:43] 推升股價的動能,現在已經徹底變成稀缺性的流動性溢價,
[09:49] 還有外資籌碼之間的肉搏戰了。
[09:52] 接下來,進入第三部分,
[09:55] 事前驗失,尋找毀滅性的終極黑天鵝。
[10:00] 請各位把剛才的興奮侃全部收起來,
[10:04] 我們必須進入極度冷靜的狀態。
[10:07] 我們現在假設時間快轉到2026年底,
[10:10] 你的投資慘遭腰戰,
[10:12] 帳面直接虧損50%,到底發生了什麼事?
[10:16] 最可怕的終極黑天鵝,
[10:18] 就是美國國防部的DFARS禁令,
[10:22] 在最後一刻上演進極大轉彎。
[10:24] 如果五角大廈在年底驚恐地發現,
[10:27] 就算把全世界所有非中國供應商的產能全部炸乾,
[10:31] 都填不了那八千到一萬噸的巨大攻擊黑洞。
[10:35] 那美軍的戰斧飛彈跟高階無人機產線
[10:38] 馬上就會面臨停擺的國安危機壓,
[10:41] 在這種絕對的壓力下,
[10:42] 美國國防部絕對會被迫低頭,
[10:45] 動用緊急豁免條款,
[10:47] 重新把中國紅鏈的大門打開。
[10:50] 一旦這個非中供應鏈的金鐘罩被美國自己親手打破,
[10:54] 連有現在享有的雙軌價格暴力跟地緣政治溢價,
[10:57] 將會在短短一個交易日之內瞬間灰飛煙滅,
[11:01] 直接迎來最慘烈的雙殺崩疊。
[11:05] 好,第四部分,行動綱領與時機點。
[11:08] 精準打擊的時間與籌碼,
[11:11] 我們到底該怎麼操作?
[11:14] 大家把日曆拿出來記好。
[11:16] 第一站,
[11:17] 2026年7月15日,
[11:19] 子公司股份產品正式進入國籍大廠的認證階段。
[11:24] 只要有任何打入頂級車廠或航台的利得消息,
[11:27] 絕對會引爆新一輪的估值上修。
[11:31] 第二站,
[11:31] 8月中旬,
[11:33] 第二季財報公佈,
[11:34] 到時候市場會拿著放大鏡嚴格檢視那種超高毛利率到底是不是常態。
[11:40] 最後的終極戰場,
[11:42] 12月底,
[11:43] 隨著逼近美國國防部採購法實施的死亡實現,
[11:47] 歐美企業那種恐慌性屯料的情緒將達到最高潮,
[11:51] 這絕對會是推升股價最強的陌生段活種。
[11:55] 籌碼方面,
[11:56] 近期外資單獨買超高達923張,
[12:00] 這呈現出一種極度罕見的高度集中鎖碼狀態。
[12:04] 雖然這923張的精確數字在法說會上沒有名講,
[12:07] 但從籌碼動向就可以清楚看到,
[12:10] 海外的長線機構已經深刻認識到它的戰略稀缺價值了。
[12:14] 沒錯,
[12:15] 但請各位一定要嚴格遵守交易紀律,
[12:18] 近場防線必須設定在2083元到2100元的季線支撐區間,
[12:23] 而終極的停損鐵板價我們毫無懸念,
[12:26] 就是定在1850元,
[12:28] 只要無預警帶量跌破這個位置,
[12:31] 這就意味著稀缺性溢價的籌碼結構已經徹底崩潰了。
[12:35] 到時候請你摒棄所有的基本面信仰,
[12:37] 嚴格無條件停損出場。
[12:39] 今天的深度解析到這裡進入尾聲了,
[12:43] 760.tw連有金屬,
[12:45] 可以說是完美展示了一家公司如何在供應鏈斷裂的極端環境下,
[12:51] 死死握住絕對的定價權。
[12:53] 最後,
[12:54] 我們要留給各位投資朋友一個非常值得深思,
[12:58] 也急劇挑釁性的問題。
[13:00] 我們現在清潔目睹的這一切,
[13:02] 究竟是全球地緣政治供應鏈永久性的碎裂,
[13:06] 還是說,
[13:07] 我們只不過是在見證一場歷史級別的短暫的定價異常呢?
[13:12] 你的判斷將會決定你在這場同股完美風暴當中,
[13:16] 究竟是成為提款機,還是成為被別人收割的籌碼。
[13:21] 感謝各位的收睛,我們下次的深度解析見。
