[00:00] 7月24號全球宏觀經濟大震盪
[00:03] 台股單日直接重挫超過千點
[00:06] 大家當時是不是都覺得
[00:07] 完了
[00:08] 消費性電子皮丸準備要脫垮整個科技板塊了
[00:12] 沒錯
[00:12] 當時市場可以說是一片鞋海
[00:15] 但在這片鞋海裡面
[00:16] 有一份數據兼職就是個異類
[00:19] 我們今天來看與參科技
[00:21] 股差代號8271
[00:23] 當天大盤沙城那樣
[00:24] 它收盤價居然硬生生扛在212.5元
[00:29] 盤中甚至海一度衝上餓223元
[00:32] 究竟發生了什麼事
[00:34] 馬上進入我們今天這份解釋的第一部分
[00:37] 震撼開場
[00:38] 第二季毛利異常飆升
[00:41] 大家都極度擔憂記憶體報價會崩盤對吧
[00:44] 但是你看看宇艦交出的成績單
[00:46] 上半年合併營收高達167.18億元
[00:50] 年增率直接飆破251.11%
[00:54] 這還沒完
[00:54] 上半年每股盈餘更是狂飆到35.51元
[00:58] 貴單單半年就賺贏去年全年的5倍以上
[01:02] 而且這裡面最大的一個驚嚇或者說驚奇
[01:05] 是它的單季毛利率居然突破了51.25%
[01:09] 跟去年同期相比
[01:11] 暴增了將近36個百分點
[01:13] 這說明什麼
[01:14] 這強勢宣告了
[01:16] AI基礎建設已經把記憶體產業
[01:18] 推入了一個無肯逆轉的
[01:20] 結構性缺貨超級週期
[01:23] 他們現在完全無視消費端的疲軟
[01:25] 展現了霸王級的定價權
[01:28] 現在你心裡一併在想
[01:29] 宇謙到底是怎麼賺到這種暴力的
[01:32] 其實我們可以用一個
[01:32] 超級數據保險箱的概念來理解
[01:35] 想像一下
[01:36] 宇謙就像是一家專門為全球頂級科技
[01:39] 巨頭打造極機密保險箱的特許銀框
[01:42] 現在AI大爆發
[01:43] 處理器的大腦變得極度聰明
[01:45] 運算飛快
[01:46] 所以他們需要無數個這種特製保險箱
[01:48] 來裝載龐大的新資料
[01:50] 沒錯
[01:50] 而且要打造這些保險箱的頂級金屬
[01:52] 也就是原廠記憶體顆粒
[01:54] 現在全球可是陷入嚴重缺貨狀態
[01:56] 就是這樣
[01:57] 所以宇謙不只大舉像銀行借錢
[01:59] 把市面上的原料通通掃光
[02:01] 還成功把做好的保險箱
[02:02] 賣出史無前例的添價
[02:04] 再讓銀行的金庫瞬間堆滿了滿滿的陷阱
[02:07] 先別高興的太早
[02:09] 我們進入第二部分
[02:11] 多空即變
[02:12] 一起來結碼這40億元的連帶案
[02:15] 這背後的極端槓桿操作
[02:17] 絕對必須嚴格檢視
[02:19] 管理層現在可以說
[02:21] 是在進行一場極端高風險的好賭
[02:23] 我們回到第二季法說會的問答現場
[02:26] 那時候法人簡直就像
[02:27] 狙擊手一樣火力全開
[02:29] 大家最質疑的就是
[02:31] 在記憶體價格已經處於歷史高檔的當下
[02:34] 為什麼還要大舉擴張債務
[02:36] 借貸這40億元
[02:37] 這到底是不是意味著
[02:39] 公司營運至今失景
[02:40] 還是說他們準備在最高點接盤捅貨
[02:43] 面對這種犀利的問題
[02:45] 宇謙執行長張家鵬的回答卻異常堅定
[02:48] 他直接挑明了說
[02:50] 庫存衝高的唯一決定因素
[02:52] 就是在原倉取得的貨源多寡
[02:55] 他強調公司的策略就是
[02:57] 貨源會盡量拿
[02:58] 這40億年代案就是要充實營運資金
[03:01] 讓他們在市場上瘋狂掃貨
[03:03] 掃貨
[03:04] 等一下
[03:05] 你來看看這驚悚的財務級標
[03:08] 第一季存貨周轉天數
[03:10] 直接飆破歷史新高
[03:11] 來到166.23天
