[00:00] 大家好,投资不想学链砖,锁定价值股雷达。
[00:04] 大家都在追人工智慧跟台积电那些台面上的大牌,可是真正闷着头在赚健康财的小公司,根本没人在看。
[00:12] 雷达今天跟你讲一家叫做细科红尘的公司,它的资本额才区区3.7亿而已。
[00:18] 干涉人家2026年第一季的营酬年争率,竟然一口气冲到了33%。
[00:23] 他到底在卖什么沟幼,凭什么吃得到台积电的这碗饭?
[00:27] 我们今天一夜也带你看清楚。
[00:30] 我们先来讲讲细科红尘这家公司,它的规模真的非常小,员工大约也才400人上校而已。
[00:36] 可是公司公告出来的数字非常惊人,2025年全年的营收竟然可以做到38亿。
[00:42] 到了2026年第一季,年争率还能维持在33%的高水准。
[00:47] 一家这么小的公司营收,能够喷成这样,你说健康的需求会弱吗?我看是一点都不弱。
[00:53] 这里的亮点非常清楚,就是营收具备高层长进,还有建厂的这个题材也绝对够硬。
[00:59] 可是雷达必须老实跟你讲,这种高层长的背后一定有他的代价存在。
[01:04] 公司自己也承认他们的软肋,那就是毛利率受到压抑,加上营业费用也跟着电高。
[01:11] 更重要的是,他们手中到底还有多少订单金额,这部分公司是不对外揭露的。
[01:16] 所以我们的判断就只有一句话,题材确实是整的。
[01:20] 可是,货利的品质到底好不好,以及他们去海外设厂到底能不能把业绩兑现出来,这些都还要再花时间去观察。
[01:28] 毕竟在股市里面漂亮话谁都会讲,只有白姐黑字拿出来的数字才是最真实的。
[01:34] 很多人一听到化学品三个字了,就直觉以为细科红城是那种在卖化学药水的公司。
[01:40] 其实根本不是这样,公司表示他们不卖化学品本身,他们卖的是整套的媒介系统。
[01:46] 也就是负责把化学品从供应端,安全又精准的送到生产端的那一整套输送设备。
[01:51] 你想想看,一座大型晶圆厂里面有五到六万人在跑,用到的化学品高达几十种。
[01:57] 每一种化学药剂的特性都不一样,绝对不能混在一起,不然整个产线就会报费。
[02:03] 所以一种化学品就要配一套独立的工艺系统,一座厂就是几十套这样点上去了。
[02:09] 只要半导体厂越见越多,它要做的系统就跟着越来越多,这个生意就是这样紧紧绑住的。
[02:15] 而且西科红圣还有日本关东化学的合制协统,这代表他们在技术这一块是非常有底气的。
[02:21] 依据整个产业逻辑来判断,只有半导体厂还在继续盖厂,他们的订单需求就绝对断不了。
[02:29] 我们如果把一座晶圆厂想象成一个人的身体,这样来理解整个运作逻辑就会最好动。
[02:35] 晶圆厂里面的化学品就是血液跟养分,而西科红城在做的就是人体内的那一套血管。
[02:42] 第一段是源头的供应端,要把非常干净的化学品,精准又安全的送到像艾斯摩尔这种高阶记台。
[02:49] 第二段只是扮演安全法的角色,因为化学品绝对不能毫无防备的直接通到记台里面。
