[00:00] 分析师A 耀华 代号 2367
[00:03] 各位 今天我们不跟你废话
[00:05] 直接切入这场充满血腥味
[00:08] 却又藏着巨大转机的法说会核心
[00:11] 没错 这根本就是一场跨越转型
[00:14] 死亡股的星链与光魔组织战
[00:17] 我们今天要带你撕开表面上
[00:20] 看起来很吓人的财报数据
[00:22] 直接挖出背后最残酷的真相
[00:24] 还有它真正的爆发潜力
[00:27] 好 我们先来看最现实的数字
[00:30] 目前股价就在52.80元赋金振荡
[00:33] 但老实说 真正让市场下到头皮发码的
[00:37] 是今年第一季的EPS
[00:39] 竟然开出了一个负的0.40元
[00:42] 哇 这绝对不是什么普通的景气衰退
[00:45] 这是一场彻头彻尾的生存保卫战
[00:48] 现在全市场都在恐慌
[00:50] 大家都在问
[00:51] 耀华到底能不能撑过这一关
[00:53] 你想想看这个负0.40元的EPS
[00:58] 背后代表的是
[00:59] 第一季毛利率直接崩跌到
[01:01] 只剩下5.77%的残酷现实
[01:05] 对 跌破6%的毛利
[01:07] 市场当然会受到极大的惊吓
[01:09] 但是如果你想要真正看懂这个数字
[01:12] 我们就必须深度理解经营层
[01:14] 在法说会上强势推动的米其林转型
[01:18] 听清楚咯 这绝对不是公司烂掉了
[01:21] 而是他们正在进行一场史诗级的体质重塑
[01:25] 我们用5岁小孩也能听懂的方式来说明
[01:29] 你就想像
[01:30] 耀华是一间享遇业界的超级定制代工厨房
[01:34] 过去呢
[01:35] 他们接的都是那种评价连锁餐厅的超大订单
[01:39] 也就是传统车用跟消费性电子的PCB
[01:42] 但现在大环境完全变了嘛
[01:44] 上游的食材
[01:46] 像是铜箔鸡板
[01:47] CCL跟PP都在疯狂涨价
[01:49] 你继续做这些评价餐厅根本赚不到钱
[01:51] 甚至还会倒赔
[01:53] 所以总除痛令私痛
[01:54] 决定全面修改菜单
[01:56] 没错
[01:56] 他们砸了重金
[01:58] 在泰国跟中国南通
[02:00] 盖了全新的高阶期限厨房
[02:02] 未来只骨工两道难度极高
[02:05] 但利润也极度丰厚的米其林三星大菜
[02:09] 第一道是给太空人吃的新链特餐
[02:12] 也就是低轨卫星版
[02:14] 第二道是给AI机器人喝的高能浓缩液
[02:17] 也就是光模组与AI伺服器栽板
[02:20] 所以我们现在看到的亏损
[02:22] 其实就是厨房换菜单期间
[02:24] 绝对避不开的死亡股震痛期
[02:27] 好 那我们直接切入重点
[02:29] 市场现在的共识真的是非常无聊
[02:32] 而且悲观
[02:32] 大家都觉得原物料大涨
[02:34] 要滑肯定毫无招架之力
[02:36] 但这就是我们今天要给各位的逆向观点
[02:39] 经营层不但没有被击倒
[02:40] 反而在法说会上强势宣告
[02:42] 已经向客户要求调涨报价5%到20%
[02:45] 你想想 在现在消费性电子
[02:46] 这么疲弱的环境下
[02:48] 还敢强势涨价
[02:49] 这代表什么
[02:50] 代表他们的技术互成和极深
[02:52] 而且他们手里其实还握着一颗市场
[02:54] 完全没定价进去的光模组核弹
[02:56] 一亿人民币
[02:58] 这绝对是整场法说会上
[03:00] 最让人血脉奔章的数字
[03:02] 分析师A真的是震撼弹
[03:05] 管理层首度抛出这个目标
[03:07] 宣告南通厂逼动专攻的
[03:09] MSAP制成光模组
[03:11] 预计到了2027年第二季
[03:14] 单单这一个品项的单月营收
[03:16] 就要挑战一亿人民币
[03:18] 而且最关键的是
[03:20] 这个光模组的毛利率
[03:21] 是双位数以上的降维打击
[03:24] 全市场完全错估了要滑
[03:26] 跨入AI实体成供应链之后
[03:28] 那种超级恐怖的利润弹性
[03:31] 这表示公司内部的资源
[03:33] 正在进行一场大洗牌
[03:35] 管理层承诺
[03:36] 下半年低轨卫星的占比
[03:38] 将会跳跃式增长到30%
[03:41] 而光模组明年的目标占比
[03:43] 则是10%
[03:44] 分析是A
[03:46] 这代表什么意义
[03:47] 这代表要滑正在非常主动
[03:50] 果断的脱离低毛利的红海丝纱
[03:53] 把筹码冲藏压住
[03:54] 在寡战的高阶赛道上
[03:56] 就业务的包袱马上就要被甩开
[03:59] 整个公司的毛利率结构
[04:01] 即将迎来颠覆性的重塑
[04:03] 这才是真正的重点
[04:05] 不过呢
[04:06] 市场上确实有一派
[04:08] 比较悲观的声音
[04:09] 他们严重質疑要滑
[04:11] 做大面积伺服器板的凉略问题
[04:14] 这点我们必须彻底反洁
[04:16] 以前要滑做手机的HDI版
[04:18] 一块大拼板
[04:19] 车程几十块小板
[04:20] 画一个角丢掉就好
[04:21] 容错率极高
[04:23] 但是现在做AI伺服器的高层数版
[04:25] 只要一个点出错
[04:27] 整块大板就必须报废
[04:29] 这是凌容错率啊
[04:30] 所以大家要明白
[04:32] 初期凉率的震痛
[04:33] 纯粹是来自于
[04:35] 大面积放大带来的物理定律
[04:37] 这需要时间去微调设备参数
[04:40] 绝对不是要滑
[04:41] 做不出高阶HDI的
[04:43] 永久性技术瓶颈
