[00:00] 直接切入正題
[00:01] 今天這場硬核的逆向拆解
[00:03] 主角是台股代號6257
[00:05] 衰格
[00:06] 想像一座高速公路收費站
[00:08] 現在正為了迎接滿載黃金的裝甲車
[00:10] 而瘋狂貸款擴建
[00:12] 但如果車子最後根本沒來呢
[00:14] 這就是我們建的主題
[00:16] 拋開那些無聊的開場白
[00:18] 現在市場資金完全陷入了AI狂熱派對
[00:21] 但我們深挖了他們最新的法收費逐字稿
[00:24] 還有資產負債表最深處的細節
[00:26] 發現了一個絕對會顛覆市場樂觀敘事的
[00:30] 準備好了嗎
[00:31] 我們直接來看數據
[00:33] 截至2026年6月30日
[00:35] 大家可以看到
[00:36] 龜格的股價已經被狂熱的買盤
[00:38] 一路推升到了229.50元的歷史高位
[00:41] 只稱這個極端定價的
[00:43] 是他們2026年第一季
[00:45] 繳出了EPS 2.10元的超票要乘機單
[00:48] 現在各大外資跟本土券商的共識
[00:51] 可以說是一片大好
[00:52] 目標價甚至有人直接喊到了300元
[00:55] 他們都認為
[00:55] 龜格已經完美轉型
[00:57] 準備好要迎接AI帶來的超級暴力了
[01:00] 但說實話
[01:01] 這真的是全貌嗎
[01:02] 我們在數據堆裡
[01:03] 找到了一把法醫級冒煙的槍
[01:06] 各位請仔細聽這個極度強烈的背離對比
[01:10] 這是這次法說會最讓人背極發糧的數據
[01:13] 龜格宣布
[01:14] 他們全年的資本支出
[01:16] 暴增了將近48.5%
[01:18] 來到88億元
[01:20] 於宣誓要大舉擴充AI產能
[01:22] 但是代表客戶真實掏錢
[01:25] 綁裝意願的合約負債
[01:26] 就在過去一年內
[01:27] 雪崩是暴跌了60.69%
[01:31] 你沒聽錯
[01:32] 供給端在瘋狂擴產
[01:33] 需求端的預付款卻極度萎縮
[01:35] 主流市場現在竟然完全忽略了
[01:37] 這個致命的矛盾點
[01:39] 接下來進入第一部分
[01:40] 我們來談談高速公路收費站與X光掃描仪
[01:45] 為了解釋剛剛那個誇張的背離
[01:47] 我們把這種專業尾外封測
[01:50] 代工廠的鄉業模式稍微簡化一下
[01:53] 想像有一條通往未來世界的高速公路
[01:56] C格其實就是這條公路鏡頭的
[01:59] 中期收費站與安檢站
[02:01] 過去幾年通過這裡的
[02:03] 都只是一般的小客車
[02:05] 也就是傳統的智慧型手機晶片
[02:07] 這種安檢很快
[02:09] 高度標準化
[02:10] 單自收費當然也就比較便宜
[02:12] 但現在不一樣了
[02:14] 公路上湧入了滿載黃金的
[02:16] 超級重型裝甲卡車
[02:18] 這就是結構極度複雜的
[02:20] AI ASIC跟C光子晶片
[02:23] 為了對付這些巨獸
[02:24] C格必須雜下天文數字
[02:27] 去買最頂級的X光掃描衣
[02:29] 也就是那些超級昂貴的
[02:31] 高階測試機台
[02:33] 鄭文生意的賺錢邏輯
[02:34] 其實極度簡單粗暴
[02:37] 他們就是按機台運轉的
[02:39] 小時數來收費的
[02:41] 只要重型卡車
[02:42] 源源不絕一直來
[02:44] 掃描衣24小時不關機
[02:46] 那這裡絕對就是印鈔機
[02:48] 但大家想一想
[02:50] 這是一場沒有回頭路的
[02:52] 重資產軍備競賽
[02:54] 如果重金買了設備
[02:56] 卡車血因為任何
[02:57] 莫名其妙的原因遲遲沒來
[03:00] 那些龐大機台所產生的
[03:02] 折舊費用
[03:03] 就會像海嘯一樣
[03:04] 瞬間把這座收費站的
[03:06] 獲利給徹底壓垮
[03:08] 大家一定要記住這個邏輯
[03:10] 這是他們整個商業模式裡
[03:12] 最脆弱的軟肋
[03:14] 接著我們來看第二部分
[03:16] 逆向觀點
[03:17] 戳破市場神話
[03:20] 目前市場的定價模型
[03:21] 完全是建立在
[03:23] AI能讓毛利無腦攀升
[03:25] 這種近乎完美的假設上
[03:28] 但我們只要拆解一下營收占比
[03:30] 就能直接反駁C格
[03:32] 是純AI概念股的巨大迷思
