[00:00] 頁城GISKY股票代號6456
[00:04] 大家現在看它股價好像平平穩穩地收在69.10元
[00:08] 對吧
[00:09] 但是在這風平浪靜的表面下
[00:11] 我跟你說
[00:12] 剛剛結束的第一季法術會
[00:14] 根本就是直接砸了一顆震撼彈下來
[00:17] 沒錯
[00:18] 今天的深度解析
[00:19] 我們絕對不講廢話
[00:21] 直接帶你直擊這家公司
[00:22] 現在面臨的轉型死亡股
[00:25] 市場現在還在做著歸光子的超級美夢
[00:27] 帶你攤開財報一看
[00:29] 裡面的數字真的在低血
[00:31] 負得0.6億元
[00:32] 你沒聽錯
[00:33] 這就是GISKY第一季超驚悚的美股盈餘
[00:38] 公司不但在法術會上直接承認本業已經陷入虧損
[00:42] 那個毛利率更是一口氣暴跌到只剩5.0%
[00:46] 對啊
[00:47] 補價現在還硬撐在將近70元的高位
[00:50] 但經營產已經把話說得很白了
[00:52] 下半年的傳統旺季需要保守看待
[00:55] 哇
[00:56] 這個預期的落差見得是大的嚇人
[00:58] 到底發生了什麼事
[01:00] 要瞄懂GISKY現在有多慘
[01:03] 你可以把他們想像成一家全球最高級的螢幕貼模點
[01:08] 過去他們專門幫蘋果這種頂級大廠貼出最完美的螢幕
[01:13] 光賺那個代工費就賺翻了
[01:15] 但是殘酷的現實來了
[01:17] 現在的高階OLED螢幕自己就自帶觸控功能
[01:21] 人家根本不需要貼模了啊
[01:23] 所以面對這種生死從亡
[01:25] 這家貼模店的老闆決定砸下超級重金
[01:29] 去考一張精密神經外科醫師指導
[01:32] 這也就是現在市場上炒得最火熱的
[01:35] 西光子連續玻璃社封測還有AR光波島技術
[01:39] 但問題來了
[01:40] 這張難度極高的醫療指導
[01:43] 最快最快也要等到2027年才能掛牌營業
[01:46] 那現在怎麼辦
[01:47] 只有客人門可羅雀
[01:49] 可是為了買新設備
[01:50] 每個月那個巨額折舊和費用還是照樣在扣
[01:54] 這就是他們現在最痛苦的轉型空窗期
[01:57] 好 那我們進入第一個重點環節逆向觀點
[02:01] 來看看市場共識跟殘酷現實到底差多大
[02:05] 你知道嗎
[02:05] 現在的市場完全被AI算力中心
[02:09] 歸光子的夢幻故事給催眠了
[02:12] 根本沒人在聽經營曾在法說會上
[02:15] 親口給出的冰冷之印
[02:18] 法人機構居然還給出75元的目標價
[02:21] 甚至預估全年EPS還有正的1.25元
[02:25] 理由就是看好CPU歸光子的未來潛力
[02:28] 說實在的
[02:29] 這根本是天方夜談好嗎
[02:31] 第一季就已經虧掉0.61元了
[02:33] 然後你看第二季的4月營收
[02:35] 直接給你一個年減34.47%的雪崩數據
[02:39] 要達到1.25元
[02:41] 下半年除非發生奇蹟
[02:43] 華爾街的分析師們完全是在忽略管理層
[02:45] 剛剛丟出來的兩顆超級炸彈
[02:48] 第一顆炸彈就是全球記憶體嚴重缺貨
[02:53] 中端的平板和筆電因為少了一顆記憶體
[02:56] 正胎機器根本組裝不起來
[02:59] 直接卡死無法出貨
[03:01] 沒錯
[03:02] 第二顆炸彈更狠
[03:03] 是直接把EPS毀滅掉的營餘會回稅
[03:07] GISKY已經在6月公告
[03:10] 他們成都子公司要會回高達人民幣10.28億元的營餘
[03:15] 這筆超大筆的資金會回來
[03:17] 會產生非常恐怖的海外所得稅費用
[03:20] 這兩拳重重打下來
[03:22] 全年的EPS注定會被這筆稅款炸出一個超級大生坑
[03:27] 接下來我們來進行財務法醫檢視
[03:31] 直接剖開資產負債表
[03:33] 看看裡面到底有多血肉模糊
[03:37] 我們拿起解剖刀照真相
[03:39] 最致命的箱口其實就在存貨走轉數據
[03:43] 你看它從去年第二季的3.22
[03:46] 一路像溜滑梯一樣狂跌到今年第一季只剩2.52
[03:52] 這就是供應鏈裡最致命的長短料危機
[03:55] 這背後的真實慘況就是
[03:58] GISKY辛苦做好的觸控模組
[04:00] 也就是所謂的短料
[04:02] 現在全部堆在倉庫裡漲灰塵
[04:05] 為什麼
[04:06] 因為下游客戶等不到記憶體這項長料
[04:09] 整台機器中不起來
[04:11] 只好強制GISKY暫停交貨
[04:14] 產能利用率一暴跌
[04:16] 那些高昂的固定成本
[04:18] 就正在無情的吞噬他們僅存的那5.0%毛利率
[04:23] 那大家一定會問
[04:24] 在這麼惡劣的環境下
[04:26] 這家公司怎麼還沒倒
[04:28] 因為這家公司暢上有高達280億新台幣的資源
[04:34] 沒錯
[04:35] 這是GISKY暢上目前實實在在可以動用的現金部位
[04:40] 也正是因為有這種超級後實的現金流互成合
[04:44] 讓他們在面臨虧損的時候
[04:46] 還敢狠下心編列50到60億元的資本支出
[04:50] 硬是去買下通往AIC光子
[04:53] 還有建置越南新廠的昂貴門票
[04:56] 老實說
[04:56] 這就是他們逃離墳墓的唯一籌碼
[04:59] 既然有這筆現金在續命
[05:02] 那我們進入下一個重點
[05:05] 估值與敏感度舉證
[05:08] 這家公司現在就像是走在危險的缸鎖上一樣
[05:12] 仔細猜解現在接近69元的股價
[05:16] 你會發現
