[00:00] 大家好,投资不想随便抓,锁定价值古雷达。
[00:04] 这家公司就是大家都很熟悉的甲骨文,
[00:07] 最近订单接到手软,但是毛利却在往下掉。
[00:10] 甲骨文这一季的在手订单充到了6380亿美元,
[00:13] 年成长率高达363%,
[00:16] 大家想想这个数字有多么的吓人,
[00:18] 这代表未来的业绩已经吃了定清碗。
[00:21] 可是我们仔细看同一张的财报,
[00:23] 会发现全年的毛利率竟然掉了大约5个百分点。
[00:27] 我跟你讲,在财报里面绝对有隐藏的故事,
[00:30] 这状况绝对不是表面上看的那么简单。
[00:33] 今天雷达就带你一起来拆解,
[00:35] 把这张看似漂亮的财报一页一页看清楚。
[00:38] 我们先来看看这个业绩的悄悄版,
[00:41] 一边的蓝色箭头往上冲,
[00:42] 而另一边的红色箭头去往下杀。
[00:45] 蓝色的那边显示在手订单高达6380亿美元,
[00:49] 而且年成长率来到363%,
[00:52] 另外本季的营收也来到了192亿美元,
[00:55] 年增率21%真的是非常漂亮。
[00:58] 可是红色箭头那边却显示全年毛利率掉了大约5个百分点。
[01:02] 这对实际的获利其实非常伤。
[01:05] 雷达我的解读是,
[01:06] 甲骨文已经不再卖传统软体,
[01:08] 而是转型成人工智慧基础建设的超级巨头了。
[01:12] 现在市场投资人最关心的重点,
[01:14] 早就不是这家公司未来到底还会不会继续成长。
[01:18] 大家真正在意的是这种极度烧钱的成长模式,
[01:21] 最后到底撑不撑得起它现在的高昂股价。
[01:24] 所以这家充满矛盾的财报到底该怎么解读,
[01:28] 我们就继续往下一页一页把它扒开来看。
[01:31] 现在到了工商服务时间,
[01:33] 如果先前看过的朋友想跳过,
[01:35] 可以直接按底下的章节跳过。
[01:37] 很多朋友,
[01:38] 常常在底下留言,
[01:39] 问我平常是用每个平台来下单的,
[01:41] 我们自己长期在使用的,
[01:43] 就是营透证券这个全球理财平台。
[01:46] 这个系统不止连线的稳定度极高,
[01:48] 还能让我们直接跨海买到美国跟日本的重点交易市场。
[01:52] 对于我们这种必须紧盯全球供应链的实战交易者来说,
[01:55] 这绝对是一个非常强大而且好用的利息。
[01:58] 如果大家对这个我们每天都在用的美股券商有兴趣要开户,
[02:01] 非常欢迎点击影片下方说明来里面的专属链接可以帮助到我们。
[02:06] 或者大家也可以直接拿起手机扫描画面通的条码,
[02:09] 亲自去体验看看营透证券各项强大的下单功能。
[02:13] 按照合约规定,这边还是要特别提醒大家,
[02:16] 刚刚讲了这些推广内容,绝对不够成任何的买卖推荐。
[02:20] 投资市场本来就伴随了不小的风险,
[02:22] 大家在把真金白银砸下去之前,一定要先做好非常谨慎的评估。
[02:27] 各位老朋友们,在做出任何投资局这之前,
[02:29] 务必要先寻求专业独立的财务建议,
[02:32] 并且想越往在场的风险称名。
[02:34] 最后我也要非常诚实地跟大家报告,
[02:37] 我本身就是营透证券的客户,
[02:38] 我们双方有签订专属的点击付费合作协议。
[02:42] 只要大家透过影片下方的专属连结,点击过去,
[02:45] 营透证券就会支付我们频道一笔小额的推广费用来维持营运。
[02:49] 这家公司目前的商业模式到底特别在哪里?
[02:52] 雷达用个简单的比喻,你一定马上就能听得懂。
[02:56] 他现在等同于是自己盖房子的超大型建商,
[02:58] 同时又是负责帮你装还开店的工程包衫。
[03:01] 财报显示,他的营运结构总共分成三个层次,
[03:04] 最底层就是他们引以为傲的云端基础设施。
[03:08] 这可是支撑起庞大人工智慧运算的重要底盘。
[03:11] 没有他,就算你手上有再多晶片也跑不动。
[03:14] 中间那一层,则是甲骨文最出名的资料库,
[03:17] 里面存着各大企业,几十年来的关键营运资料。
[03:21] 最上面那一层,就是企业应用系统,
[03:23] 也就是大家每天上班在用的资源规划跟人事管理系统。
[03:27] 大家仔细想想看,别的科技厂通常只专心做其中一层,
[03:31] 但是甲骨文确实从头吃到尾全部包办。
[03:34] 他们的新任财务长之前,就说了一句大实话,
[03:37] 他说公司现在正处在实体跟虚拟世界的交汇点。
[03:41] 这种全方位的技术结构非常难以被复制,
[03:43] 这正是支撑他们未来所有爆发成长故事的最强地基。
[03:48] 那他们的云端基础设施到底在卖什么东西,
[03:50] 雷达直接跟你讲破这个独特的商业模式。
[03:53] 你就把它想成是人工智慧时代的算力低产倡,
[03:57] 我跟你说用这个比喻来形容绝对是最铁铁的。
[04:00] 他租给你的绝对不是一颗一颗的运算晶片而已,
[04:03] 而是一整栋能立刻开机营运的超级算力大楼。
[04:06] 这里面包含了运算晶片加速器以及通用运算设备,
[04:09] 还有各种大容量的储存系统通通都有。
[04:12] 再加上系统附在平衡,跟企业等级的安全身份验证,
[04:16] 他们全部都会帮客户一次整合配到好。
[04:18] 公司高层自己也讲得很白,说把一堆加速晶片摆在那里,
[04:22] 这种做法根本就不能被称作是云端。
[04:25] 要把所有硬体完美整合起来的高效能系统,
[04:28] 这才是加古文现在可以称报市场的真正核心价值。
[04:32] 我们直接看他们交出来的成绩单来印证,
[04:35] 公司表示,2026块几年度会交付超过1.2个11瓦的电力规模。
[04:40] 这代表后面有着无比庞大的伺服器群在疯狂运作,
[04:44] 更猛的数据还在2027块几年度的第一季。
[04:47] 公司预估光是单季就要交付毕竟一个11瓦的规模,
[04:51] 而且这还只是在图还没完成的数字而已。
[04:54] 这差不多等于过去四个季度加起来的总和,
[04:56] 从这边你就可以知道这人工智慧的需求爆发力道有多强劲了。
[05:02] 云端机房大家都在盖,
[05:03] 到底甲骨文真正的底牌在哪里?
[05:05] 雷达直接跟你讲破,就是那些无可取代的客户资料。
[05:09] 大家去看财报,就会发现很多跨国大企业,几十年来的营运资料,
[05:14] 老早就安安文文躺在甲骨文的资料库里面了。
[05:17] 他把云端基础设施跟资料库,还有应用程式全部打包好,
[05:21] 这样客户要导入人工聚会的时候,
[05:23] 可以直接拿资加的私有资料下去做推论。
[05:26] 这种完全不用扳移资料,而且开机马上就能跑的绝对优势,
[05:30] 直接成为其他竞争对手,根本抢不走的超强互成何。
[05:34] 我们来看几个实例,像是欧洲大型电信商导入他们的云端专属区域,
[05:38] 公司就表示,部分的作业流程提速高达60%,
[05:42] 还有一家拉丁美洲拥有3000万用户的大型电信商拿去做客服自动化,
[05:46] 甚至连英国国民保建筑都拿去整合庞大的医疗系统。
[05:50] 合理推论,这些已经存在几十年的老资料,
[05:53] 就是别人绝对抢不走的超级惊狂,
[05:55] 这才是这家公司未来业绩能远远不觉的最大秘密。
[05:59] 6380亿美元的在手订单听起来真的很爽,
[06:02] 但是雷达要你先冷静一下看清楚这笔钱到底什么时候才能真正收到。
[06:08] 我们必须把在手订单想成是建商预售屋的合约部,
[06:11] 虽然现在合约已经签下去了,
[06:13] 但是房子还是必须要慢慢盖慢慢交的。
[06:17] 财报显示这6380亿美元的庞大订单里面,
[06:21] 未来12个月能够真正任列进营州的比例,
[06:24] 其实只有12%而已。
[06:26] 而第13个月到第36个月这两年的时间段大约可以任列34%,
[06:32] 剩下的超过一半都要等到三年以后才轮得到它紧张。
[06:35] 虽然公司高层表示这两个阶段的营收任列比例未来几个季度会开始加速,
[06:40] 但雷达跟你讲这种超级长线的业绩能见度是真的非常猛。
[06:45] 可是合理推论这些占据多数的营收必须要等两到三年后才会兑现,
[06:49] 这就是一种远期的业绩承诺,也是执行后者的伏笔真的急不得。
[06:54] 我们先来看财经新闻头条最喜欢报的那一串漂亮数字。
[06:58] 财报显示,本季营收来到了192亿美元,也就是年增21%。
[07:04] 营业利益也达到了86亿美元,年增率是22%。
[07:08] 本季的每股营余则是2.1亿美元,交出了年增24%的好成绩。
[07:13] 甚至全年的每股营余高达7.63美元,年增率来到27%。
[07:18] 这份成绩单看起来真的是漂亮吧,我不行,对不对?
[07:21] 但是我跟你讲,看到这种数字,先别急着高兴鼓掌。
[07:25] 因为公司自己也有揭露,这里面其实塞了一些转投资新创企业一次性的投资利益。
[07:31] 我们如果把这个美化财报的律技拿掉,来看真实本页。
[07:35] 财报显示,本季每股营余的成长幅度马上就降到了20%,
[07:40] 而全年的真实每股营余其实只剩下6.83美元。
[07:43] 雷达的判断,是这份表面看起来非常亮眼的业绩成绩单。
[07:47] 其实有很不小的一块,完全是靠着账面投资收益硬称出来的。
[07:52] 所以这获利的含水量有点偏高,大家在估算股价的时候,务必记得要打个折。
[07:58] 大家都在问,这家公司未来的成长火力到底在哪里?
[08:02] 雷达现在就直接带你打开引擎盖看个清楚。
[08:05] 财报数据清楚显示,甲骨文云端基础设施的营收,交出了年增93%的恐怖成绩。
[08:11] 但我跟你说,这还不是里面最猛的数字。
[08:14] 他们在多云整合还有云端资料库,这个区块的业绩年成长率,竟然高达40%字。
[08:20] 你绝对没有看错,真的是40%字。
[08:23] 当然,公司高层也老实讲,是因为多云发展的机器还很低。
[08:27] 整个市场需求其实都还处在非常早期的爆发阶段。
[08:31] 不过,真正下人的是,他们这个纪录,一口气就签下了高达670亿美元的人工智慧基础建设大单。
[08:38] 这代表后面有源源不绝的现金准备进账。
[08:41] 而且这里面包含了四个超级重量级的大客户。
[08:43] 这四家公司每一家都各自签下了,筹过80亿美元的超级大合约。
[08:49] 另外,传统强项的云端资料库营收也同步缴出了年增29%的好成绩,这基本盘可以说是非常稳固。
[08:56] 管理阶层也在法术会上特别重申未来的营运早望,他们预期云端基础设施的稳碳毛利率大概会落在30%-40%之间。
[09:06] 而且高层非常乐观预估整个人工智慧基建的市场规模,未来每年都有上看塑造美元的庞大商计。
[09:13] 雷达直接跟你下个结论,就是这两颗业绩涡轮现在同时疯狂运转,这家公司未来的成长动能绝对是强盗不息。
[09:21] 接下来这也的观念可能稍微有点硬,但是雷达觉得这绝对是整份财报最值钱的地方,大家跟着我慢慢听下去就懂了。
[09:30] 现在市场上有一种非常特别的商业玩法,叫做客户自带硬体,意思就是透户直接自己掏出大笔真金白银来买伺服器。
[09:38] 而且这些大客户买完硬体之后还要先把现金预付给价股文,财报里面就明白标识这类特殊合约累计金额已经高达750亿美元了。
[09:47] 大家冷静下来仔细想想看,这种做生意的招数到底高明在哪里,这根本就是拿别人的钱来帮自己做无本生意。
[09:55] 既然是由客户自己出钱买那些昂贵的运算设备,这就让价股文自身的现金资本支出压力大幅度的降了下来。
[10:02] 这让他们只要专心做最顶级的云端架构设计跟机房建造,以及后续最赚钱的系统维护,赢命就可以了。
[10:09] 更关键的重点来了,管理阶层非常明白的对外表示,这种类型合约的毛利率绝对不低于,甚至还优于一般的传统合约。
[10:17] 他们甚至预估未来这种模式的稳态资本回报率会落在20%的后短半,这对股东权益来说绝对是一大超级力度。
[10:25] 雷达帮大家总结解读一下这个超强的互衬和现象,那就是大客户就算宁愿自己砸重金也要指名使用价股文的云端符。
[10:33] 这就代表市场上完全找不到可以替代的竞争对手,这绝对是对这家公司系统整合建造能力最直接也最强力的背出了。
[10:41] 我们讲完了超级烧钱的人工智慧基础建设之后,雷达现在要带大家来看一块很容易被市场投资忽略的重要底盘。
