[00:00] 大家好,投资不想随便抓,锁定价值股雷达
[00:04] 来,今天我们聊一大很猛的公司叫陌生科技
[00:07] Cradle在2026块几年度,营收充破13亿美元
[00:11] 年增高达206%,真的是三倍数在孔庙
[00:14] 可是雷达这边必须要先泼大家一桶冷水
[00:17] 因为抢击这一切金人数据的其实是传统的通脉
[00:20] 公司却把2027块几年度,超过80%的成长预期
[00:24] 整个重压在目前根本还没有开始大量出货的光通讯场面
[00:28] 等于说他们交出来的财报是过去式的满分
[00:31] 但目前给出的高估值就完全是一个对未来式的庞大堵住
[00:35] 这跟向上喷出的曲棍球杆到底凭什么能继续输在那里
[00:39] 我们接下来就一页一页拆解给你看清楚
[00:42] 哪里面隐藏的风险跟机会全部抓出来
[00:45] 我们现在讲已经发生的事实
[00:48] 财报数据摊开来看,Cradle在2026块几年度
[00:51] 全年营收一举跨过13亿美元大冠
[00:54] 年增率高达206%,真的是非常夸张
[00:58] 更狠的是,光第四季单一纪录的营收就直接超越了整个2025块几年度一整年的业绩
[01:04] 这代表铜板这门生意欠阶段的获利能力已经算是被市场弯弯整整的验证过了
[01:10] 可是接下来这句话大家一定要听清楚
[01:12] 2027块几年度的成长预期公司自己也讲白了就是前地后高
[01:17] 上半年基本上还是得靠机油的铜板业务在苦衷
[01:20] 真正要让业绩往上喷的那个加速拐点
[01:23] 全部都要住在下半年光通讯产品到底能不能顺利放量
[01:27] 我跟你讲,这就是整个故事最大的命门所在
[01:30] 他们现在口袋里已经实在在转斗的钱吃靠捧卵
[01:34] 但未来股价要继续往上赌了,确实光通讯
[01:37] 所以我们后面这十几页的深度分析全部都会绕着这条核心组件来大赚给大家听
[01:44] 现在到了工商服务时间
[01:46] 如果新前看过的朋友想跳过可以直接按底下的章节跳过
[01:50] 很多朋友常常在底下留言问我平常是用哪个平台来下单的
[01:54] 我们自己常记在使用的就是营透证券这个全球理财平台
[01:58] 这个系统不止连线的稳定度极高
[02:00] 还能让我们直接跨海买到美国跟日本的重点交易市场
[02:04] 对于我们这种必须紧定全球供应链的实战交易者来说
[02:07] 这绝对是一个非常强大而且好用的力气
[02:10] 如果大家对这个我们每天都在用的美股券商有兴趣要开户
[02:14] 非常欢迎点击影片下方说明来里面的专属链接可以帮助到我们
[02:18] 或者大家也可以直接拿起手机扫描画面中的条码
[02:21] 亲自去体验看看营透证券各项强大的下单功能
[02:25] 按照合约规定这边还是要特别提醒大家
[02:28] 刚刚讲的这些推广内容绝对不够成任何的买卖推荐
[02:32] 投资市场本来就伴随着不小的风险
[02:34] 大家在把真金白银炸下去之前一定要先做好非常紧正的评估
[02:39] 各位老朋友们在做出任何投资决策之前
[02:42] 务必要先寻求专业独立的财务建议
[02:44] 并且强越网站上的风险生命
[02:47] 最后我也要非常诚实地跟大家报告
[02:49] 我本身就是营透证券的客户
[02:51] 我们双方有签订专属的点击付费合作协议
[02:54] 只要大家透过影片下方的专属连接点击过去
[02:57] 营透证券就会支付我们频道一笔小额的推广费用来维持营运
[03:02] 很多人看到现在可能连 Cradle 到底在卖什么都搞不清楚
[03:05] 雷达先用最白话的方式讲给你听
[03:08] 你现在把一座巨大的人工智慧机访想象成是一个人
[03:11] 那些昂贵的运算晶片就等同于是大脑
[03:14] 而 Cradle 真正在卖的核心产品
[03:16] 就是负责连接这些几万颗大脑之间的神经
[03:19] 还有威胁罐
[03:21] 为什么这条看似不起眼的连接线会这么重要
[03:23] 你仔细想想看
[03:24] 当人工智慧的运算从几不断扩借
[03:27] 从一开始的几万颗运算晶片
[03:29] 一路扩张到几十万颗的时候
[03:31] 真正的硬体瓶颈
[03:32] 其实早就已经不是算力了
[03:34] 问题变成是
[03:36] 这几十万颗大脑连在一起的时候
[03:38] 中间那条线到底稳不稳
[03:40] 以及资料传输会不会卡顿
[03:42] 就连他们的管理层自己都出来讲
[03:44] 今天的人工智慧机处设施
[03:46] 越来越受制于连接网路的可靠度跟效率
[03:49] 早就不单纯只是运算本身的问题吧
[03:51] 所以你可以看到
[03:52] 虎罗的产品线拉得非常开
[03:54] 从晶片对晶片之间的微小传输
[03:56] 一路到机柜内部的铜缆连接
[03:58] 再延伸到整座机房的光通讯领域
[04:01] 从这些布局我们就可以合理推论
[04:03] 它在市场上卖的
[04:04] 根本就不只是单纯的平宽速度
[04:07] 它们真正卖给大客户的
[04:09] 其实就是连线绝对不出包这几个字
[04:12] 这才是它们不可取代的互成合
[04:15] 想要彻底理解虎罗的进程优势
[04:17] 其实只要搞懂可靠度的三个字
[04:19] 就完全足够了
[04:20] 这是公司高层
[04:21] 金口对外宣示的
[04:22] 过去这几年以来
[04:23] 产品的可靠度
[04:24] 就是指引它们研发方向的北极新
[04:27] 那为什么在现在的市场里
[04:28] 可靠度会这么值钱
[04:30] 你自己随便算算看
[04:31] 只要有单一条连接线部闻
[04:33] 就会严重头满整个运算
[04:34] 从极的开机时间
[04:36] 甚至会大量吃掉那些
[04:37] 昂贵运算晶片的实际使用率
[04:39] 如果情况再严重一点
[04:41] 甚至会导致整组设备
[04:42] 直接停摆
[04:43] 管理层也很直接的
[04:44] 把这个痛点点出来
[04:46] 这种超级重极
[04:47] 只要发生一次停机的意外
[04:49] 随之而来的损失代价
[04:51] 动不动就可以高达数百万美元
[04:53] 这个惊人的数字
[04:54] 一讲出来
[04:55] 你就完全懂了
[04:56] 人工智慧的酸力建制成本
[04:58] 越是昂贵
[04:59] 这张确保系统
[05:00] 绝对不掉线的安全保鞋
[05:02] 就越是值钱
[05:03] 那葵楼到底拿什么技术
[05:04] 来卖这张保鞋
[05:06] 公司对外宣称
[05:07] 他们自家的
[05:07] 独门主动是铜满
[05:09] 可靠度是目前市面上
[05:10] 三规雷射光模组的
[05:11] 大约一千倍
[05:13] 而且在整体功耗的表现上
[05:15] 甚至还能压得更低
[05:16] 雷达在这边
[05:17] 可以很明确的
[05:17] 跟大家下个结论
[05:19] 在麦可靠度
[05:20] 这条高毛利的赛道上
[05:21] 快乐目前是真的走在
[05:22] 所有竞争对手的最前面
[05:25] 讲完产品
[05:26] 大家一定会问
[05:27] 雷达
[05:28] 这生意这么好
[05:29] 为什么别人不进来抢
[05:31] 这问题就问到了
[05:32] 最核心的关键
[05:33] 这就要讲到
[05:34] 快乐真正的底气
[05:35] 也就是他们
[05:36] 引以为傲的技术互成核
[05:38] 他们的打法在业界
[05:39] 叫做锤子整合
[05:41] 雷达在这边
[05:41] 给他许一个更接地气的名字
[05:43] 叫做全家统测人
[05:45] 你看看
[05:45] 他一整手抓了多少东西
[05:47] 从最底层
[05:48] 最核心的
[05:49] 串列解穿器晶片技术
[05:50] 到中间的晶片设计
[05:52] 跟系统极方案
[05:53] 甚至连最上面的
[05:54] 系统认体
[05:55] 跟摇测软体
[05:56] 他们通通都有
[05:56] 自己研发的产品
[05:58] 等于是从整张料件
[05:59] 清单的最底部
[06:00] 一路包办到最底部
[06:01] 整张硬体物料清单
[06:03] 全部由他们自己
[06:04] 一家公司独家包办
[06:06] 这跟过去那种
[06:06] 传统的单一零件供应商
[06:08] 到底差在哪里
[06:09] 我跟你讲
[06:09] 这里面的差别
[06:10] 可就真的太大了
[06:12] 那些只会卖单一晶片的厂商
[06:14] 在市场上
[06:15] 随时都容易被
[06:15] 竞争对手换掉
[06:16] 而且
[06:17] 他们根本就没有这种
[06:18] 大型系统级的宏观视野
[06:20] 可是亏用每一次出货
[06:22] 都是负责整张料件
[06:23] 清单的完整方案
[06:24] 这种跟客户
[06:25] 解密结合的技术深度
[06:26] 竞争对手想要在
[06:27] 短时间内复制
[06:28] 是难上加难
[06:30] 所以你就完全懂了
[06:31] 为什么那些
[06:32] 超大规模的
[06:32] 云端服务业者
[06:33] 还有
[06:34] 现在最新兴的人工
[06:35] 只会云端服务上
[06:36] 在挑选合作伙伴的时候
[06:38] 会越来越想回头找他
[06:40] 从财报上
[06:40] 就可以清清楚楚的看到
[06:42] 这些金字塔顶端的客户
[06:43] 现在要的是能够
[06:45] 跨越好几个技术时代
[06:46] 而且还能做
[06:47] 深度系统整合的
[06:48] 长期合作伙伴
[06:50] 他在市场上卖的
[06:51] 从来就不是
[06:51] 普通的零主件
[06:53] 他卖给客户的
[06:54] 是一整套
[06:54] 完整的底层架构
[06:55] 这就是别人
[06:56] 抢不走的互称壳
[06:58] 讲完未来的架构故事
[07:00] 我们现在把焦点
[07:01] 带回来看看
[07:02] 眼前到底是谁
[07:04] 在帮公司赚大钱
[07:06] 现阶段最核心的
[07:07] 灵魂主角
[07:08] 就是主动式电缆
[07:09] 这项产品
[07:09] 撑起目前
[07:10] 所有亮眼营收的
[07:11] 幕后工程
[07:12] 就是他
[07:13] 他同时也是
[07:13] 2027块几年度上半年
[07:15] 整体业绩
[07:16] 能够维持
[07:16] 成长趋势的
[07:17] 绝对支撑力量
[07:19] 那这项产品
[07:20] 到底都用在什么地方
[07:21] 不论是单一机柜
[07:22] 内部的密集连接
[07:24] 还是最远延伸到
[07:25] 大约7公尺的
[07:25] 多机柜跨区部署
[07:27] 主动式电缆
[07:28] 在目前的大型
[07:29] 资料中心里面
[07:30] 通通都是客户指名
[07:32] 首选的标准方案
[07:33] 在技术层面上
[07:34] 公司也早就已经
[07:35] 全部准备好了
[07:36] 单通到100G的产品
[07:38] 在现阶段
[07:38] 早就已经进入
[07:39] 全面大量出货的
[07:40] 成熟阶段
[07:42] 而更新一代
[07:42] 单通到200G的规格
[07:44] 也已经也发完毕
[07:45] 在线上背头待命
[07:47] 只要客户有需求
[07:48] 随时都可以无缝接轨
[07:49] 直接上线
[07:50] 最关键的
[07:51] 绝对是客户结构
[07:52] 这一块
[07:53] 财报数据显示
[07:54] 在目前全球最顶尖的
[07:55] 六大超大规模云端业者里面
[07:57] Cradle已经成功
[07:58] 接近了其中的五家大厂
[08:00] 而且全部都是进入
[08:01] 高量出货的
[08:02] 十字合作阶段
[08:03] 你看看这六家里面
[08:04] 就中了五家
[08:05] 这份成绩单
[08:06] 绝对算是不简单了
[08:08] 可是公司自己也在
[08:09] 法术会上讲得很保留
[08:11] 他们说
[08:11] 除了其中单一加
[08:12] 龙头客户之外
[08:14] 多数的客户
[08:14] 其实都还没有达到
[08:15] 完全渗透的状态
[08:17] 这句话
[08:17] 我们从
[08:18] 赤厂的角度来
[08:19] 合理推论一下
[08:20] 意思就是
[08:21] 这么黄金生意
[08:22] 其实还有很多肥肉
[08:23] 是目前还没吃到的
[08:25] 玩整个网路架构的
[08:26] 更深处
[08:26] 据外觉得话
[08:28] 未来的出货量
[08:29] 绝对还能再翻好几倍
[08:30] 这只银收金积母
[08:32] 现在
[08:32] 可还在远远不绝的下大
