[00:00] 准备好颠覆你的市场认知了吗?
[00:02] 在今天的深度解析中
[00:04] 我们要把目光直接锁定在台股代号1229的莲华控股
[00:09] 等等你先别急着滑走
[00:11] 我知道你在想什么
[00:12] 你肯定以为这只是一档被小麦价格绑架
[00:15] 死气沉沉的传统食品股对吧?
[00:18] 大错测错
[00:19] 我们今天要揭露的
[00:20] 是一头隐藏在传统面粉代价的
[00:23] 半导体与AI基础建设
[00:25] 垄断巨寿
[00:26] 这觉得会是你今年看过
[00:28] 认知落差最大的一份调查报告
[00:30] 没有之一
[00:31] 为了让大家一眼看透
[00:33] 这次法社会上的最大惊奇
[00:35] 我必须给你们一个
[00:36] 大概5岁小孩也能懂的影域
[00:38] 现在的莲华
[00:40] 它根本就是一座伪装成
[00:42] 古老乡村模仿的超级核电厂
[00:45] 表面上没错
[00:46] 它每天心情磨着面粉
[00:48] 却爱买菜巾
[00:49] 但如果你用力推开模仿的按门
[00:51] 走进地下室
[00:52] 你会发现
[00:53] 里面竟然藏着一座核反应炉
[00:55] 还有一台超级电脑
[00:57] 正源源不绝的
[00:58] 为全世界最先进的科技厂房供电
[01:01] 而华尔街那些家伙
[01:02] 居然现在还在用面粉的价格
[01:04] 对它定价
[01:05] 虚实确实很精彩
[01:07] 但你知道我的作风
[01:08] 让我们直接来看冷酷的数据
[01:11] 最新的2026年第一季财报
[01:13] 已经出炉了
[01:14] 营收年增4%
[01:16] 但关键的EPS
[01:17] 却缴出了0.55元的成绩
[01:19] 很明显
[01:20] 市场的认知发生了严重的势条
[01:22] 而这
[01:23] 正是我们准备
[01:24] 无情套利的绝佳集会
[01:27] 好 直接进入第一部分
[01:29] 最大惊奇与核心论点
[01:31] 让我们来看看
[01:32] 这场估值错质到底有多极致
[01:35] 担开这份报告
[01:37] 我们对这笔交易直接给予
[01:39] 强力买金的评级
[01:41] 确信度高达10分之9
[01:44] 但最让我震惊的
[01:45] 其实是这个数字
[01:47] 18.3%
[01:49] 联华转投资的联华零的气体
[01:52] 在2020到2025年这段期间
[01:55] 默默的 好不张扬的
[01:57] 创造了高达18.38%的
[02:00] 净利5年复合成长率
[02:02] 各位
[02:03] 这绝对不是一家成长缓慢的
[02:05] 农粮公司会有的数据
[02:08] 它根本是一家纯度极高的
[02:10] 半导体先进制成群伙商
[02:13] 所以
[02:14] 决定这档股票生死的绝对关键
[02:17] 也就是
[02:18] The One Thing
[02:20] 其实只有两个
[02:21] 第一
[02:22] 联华零得的特殊气体
[02:24] 在台积电这些AI
[02:25] 扩敞中的渗透率
[02:28] 第二
[02:28] 旗下神童资讯
[02:30] 百亿政府标案的验收时辰
[02:32] 没错
[02:33] 让我来帮大家翻译一下
[02:35] 这到底代表什么意思
[02:37] 很简单
[02:38] 只要这两大引擎持续发动
[02:40] 联华将会瞬间甩开
[02:42] 传统食品股那种可悲的
[02:43] 12倍本亿比加索
[02:45] 迎来一场极度暴力的估值重塑
[02:48] 它会强势越升到科技
[02:50] 与半导体材料股专属的
[02:52] 25倍本亿比黄金殿堂
[02:54] 这就是华尔街聪明前
[02:56] 现在政府是单单的目标
[02:59] 接着进入第二部分
[03:00] 财务法医与前线防御
[03:03] 我们不听故事
[03:04] 直接拆解资产负债表
[03:06] 背后的真相
[03:08] 根据我们深度捞持的后台数据
[03:11] 先说
[03:12] 这在法说会上
[03:13] 可是完全没有被提及的
[03:15] 联华零连
[03:16] 2026年第一季的
[03:18] 合计营运周转天数
[03:20] 居然飙高到了
[03:21] 惊人的164.95天
[03:24] 老实说
[03:25] 对一般科技厂来讲
[03:27] 这绝对是库存
[03:28] 去化危机的丧终
[03:30] 嘿等等
[03:31] 你必须看全貌
[03:32] 这家公司的营运流动资产
[03:34] 其实只占了总资产的14%
[03:37] 那些存货波动
[03:38] 单权只是面粉本业
[03:39] 在对小麦期货
[03:41] 做战略备料而已啊
[03:42] 毛利润才是真正的重点好吗
[03:45] 受惠于小麦成本下降
[03:47] 它的合并毛利润
[03:48] 从上一季的21.1%
[03:50] 直接暴冲到了23.3%
[03:53] 这同样是法说会
[03:55] 媒体的隐藏数据
