[00:00] 各位投資人 立刻拉高你的專注力
[00:03] 今天這份深度投資被忘錄
[00:06] 我們要直接解剖一檔在台股市場完全被忽視
[00:10] 但內部卻正在發生劇烈質變的標的
[00:13] 潤泰財
[00:14] 代號8463
[00:17] 聽好喔 這絕對不是一片普通的分析
[00:19] 這是一場泥作革命跟綠色轉型下的價值成功
[00:24] 沒錯 這絕對是市場目前最大的盲區
[00:27] 沒有之一
[00:29] 當大家所有的資金都還在瘋狂追逐表面上那些熱門股的時候
[00:34] 我們卻在這份報告裡挖到了一個極度不對稱的投資機會
[00:38] 廢話不多說 我們直接切入核心
[00:41] 大家先來看這個極端脫鉤的財物數據
[00:45] 2026年第一季潤泰財的合併營收是17.1億元
[00:51] 年增率微乎起為只有加0.46%
[00:55] 表面上看起來營收根本是完全停滯的 對吧
[00:59] 但是請注意他的獲利
[01:01] 單計EPS竟然從去年同期的0.15元直接暴力噴發到0.42元
[01:09] 營收平盤 獲利卻倍增
[01:11] 而且這絕對不是靠什麼處分資產的業外以刺性灌水喔
[01:16] 這是最紮實的本業獲利結構洗牌
[01:20] 這代表什麼
[01:21] 這代表這家公司的定價權和成本結構
[01:24] 早就進化到了另一個層次
[01:27] 但老實說 真正讓人起雞皮疙瘩的
[01:31] 是這場法說會的最大驚奇
[01:34] 在公司繳出盡力幾乎翻倍
[01:37] 預辦沙漿銷量年負和成長突破13%
[01:41] 綠色收入佔比過半的超狂成績單之後
[01:46] 進入Q&A階段 現場的法人機構竟然是靈體問
[01:50] 對 集體失語
[01:52] 華爾街跟本土法人完全被傳統的定毛偏誤給困住了
[01:56] 他們到現在依然把潤泰財當做一檔跟著房地產景氣
[02:00] 隨波逐流的笨重水泥骨
[02:02] 而這種極度的關注度冷感與流動性枯竭
[02:05] 恰恰就是避險基金大部位建倉
[02:08] 準備迎接價值重估的完美黃金坑
[02:11] 好 我們直接進入今天的第一個重點
[02:16] 獲利結構的暴力洗牌
[02:18] 我們來看看在營收幾乎沒變的表向下
[02:22] 這家公司內部到底發生了什麼事
[02:25] 我們現在要像法醫一樣
[02:28] 把這個獲利暴衝的結構切開來檢視
[02:32] 來看這個數字
[02:33] 營業毛利從去年同期的1.46億
[02:36] 暴增到2.13億
[02:39] 而營業利益更是從6104萬
[02:42] 狂飆到1.18億
[02:44] 年增率高達驚人的94%
[02:48] 這在財務上釋放出一個超級強烈的訊號
[02:51] 公司的損益平衡點已經大幅下移
[02:55] 營運槓桿正在急速擴張
[02:58] 我用一個5歲小孩也能懂得隱喻來解釋吧
[03:01] 你想想一下
[03:02] 任泰財過去是一艘外表不滿鐵袖
[03:06] 航速超級慢
[03:08] 耗油量又極大的笨重遠洋貨輪
[03:12] 市場站在碼頭上
[03:13] 覺得它隨時會被高昂的碳費給壓垮
[03:17] 但市場沒發現的是
[03:18] 船長其實早就悄悄在船艙底
[03:21] 拆掉了老舊的柴油機
[03:24] 換上了一顆高效
[03:25] 環保高毛利的核能引擎
[03:28] 這顆引擎就是他們的泰古美特奈
[03:31] 玉瓣沙漿和青紙為珠
[03:34] 沒錯
[03:35] 雖然這艘船在海面上的總航速
[03:37] 看起來沒變
[03:38] 也就是營收持平
[03:40] 但燃料成本大幅下降
[03:42] 運送的貨物也從廉價鐵礦商
