[00:00] 傑瑪34563穆德科技
[00:03] 這絕對是一場高勝率的生死轉型
[00:06] 各位我們今天直接跳過無聊的開場擺
[00:09] 這早就不是尼亞公時代那檔老牌色白骨了
[00:13] 這是一場極度暴力的產業革命
[00:15] 沒錯
[00:16] 我是負責財務跟估值拆解的A
[00:19] 它是主攻戰略跟催化技的B
[00:22] 今天的深度解析
[00:23] 我們直接用數據講話馬上切入核心
[00:26] 先看這個
[00:27] 2026年第一季營收預估來到8.63億元
[00:32] EPS衝上4.61元
[00:34] 但這還不是最扯的
[00:37] 這次法說會最大的驚奇
[00:39] 絕對是穆德在光模塊硬板檢測設備的市占率
[00:43] 你猜多少
[00:44] 高達81%
[00:46] 這幾乎是絕對壟斷了
[00:47] 單一產品線的在手訂單
[00:49] 直接飆破20億台幣
[00:51] 20億的機壓訂單
[00:53] 這數字直接打臉了華爾街
[00:56] 市場一直以為他們只是傳統的印刷電路板設備商
[00:59] 大錯特錯
[01:00] 人達現在玩的是歸光子跟高階算力基礎設施
[01:04] 這都是頂級規格的戰場
[01:07] 說實話
[01:07] 如果要用五歲小孩也能懂得隱喻來解釋穆德
[01:11] 現在到底在幹嘛
[01:12] 你這樣想
[01:13] 全球AI晶片狂潮
[01:15] 就是一場史無前例的逃精熱
[01:18] 以前的穆德是頂級鐵匠
[01:20] 負責賣鐵敲給傳統礦工
[01:23] 但現在
[01:24] 他們已經華麗轉身了
[01:26] 變成專門為開採小行星礦產的太空探險隊
[01:30] 提供那種無可替代的奈米級雷射探測儀
[01:33] 而且
[01:34] 他們有一條極度兇悍的商業鐵律
[01:37] 只要利潤低於60%
[01:39] 這門生意絕對不做
[01:41] 不賺辛苦錢
[01:42] 這展現出來的是極其強大的定價權
[01:45] 正因為有這種誇張的互承盒
[01:48] 這份報告直接給出了一個極度罕見的交易評級
[01:51] 就是強力買入
[01:53] 而且確信度高達十分之九
[01:55] 這不是在畫大餅哦
[01:57] 這個九分確信度
[01:59] 是因為他們已經成功打進台積電
[02:01] 日月光
[02:02] 這些半導體巨頭主導的先進封裝
[02:05] 與AI伺服器載板核心供應鏈裡了
[02:08] 沒錯
[02:08] 九分確信度
[02:09] 這在法人圈幾乎等於是名牌等級的宣誓了
[02:12] 潮油底氣
[02:14] 但是
[02:15] 懸在股價上方的那把達摩克里斯之劍
[02:18] 也就是決定這檔股票未來兩年成敗的
[02:21] 唯一關鍵
[02:22] 其實根本不是需求
[02:24] 而是攻擊
[02:25] 真正的挑戰在於極度緊繃的跨國產能擴張
[02:28] 還有關鍵零組件到底拿不拿得到
[02:31] 那二十億訂單能不能順利變現
[02:33] 全看這個無縫接軌的執行力
[02:36] 好
[02:36] 我們進入第一部分
[02:38] 財務法醫與殺戮戰場
[02:41] 來看看這場產能軍備競賽
[02:43] 跟毛利保衛戰道理達得怎麼樣
[02:45] 換上我的財務法醫白袍
[02:48] 數字是很冷酷的
[02:50] 你看
[02:50] 2026年第一季毛利綠股降到60.6%
[02:54] 比例是高點掉大概3.7%
[02:58] 料件成本再漲
[02:59] 產品組合也再變
[03:00] 等等
[03:01] 別只看掉的部分好嗎
[03:03] 穆德在法說會前
[03:04] 直接對設備進行了全面漲價
[03:07] 而且實際成交的漲幅
[03:08] 精準落在5%到8.7%之間
[03:11] 最誇張的是
[03:12] 那個高達2.5億元的合約負債
[03:15] 沒錯
[03:16] 這正是他們防禦力的展現
[03:18] 按照他們平常收兩到三成定金的
[03:20] 鐵律來反推
[03:22] 這2.5億背後代表的是
[03:24] 高達8.3億到12.5億的確定性
[03:28] 未交貨訂單
[03:29] 這根本是一個超龐大的營收蓄水池
[03:32] 不過呢
[03:33] 法說會上最尖銳的Q&AG極手
[03:36] 還是出現了
[03:37] 有法人直接B問
[03:39] 市場盛傳你們接單狀況其實不好
[03:42] 客戶急著拉貨
[03:44] 這會不會只是重複下單
[03:46] 也就是overbooking的泡沫
[03:48] 當時執行長陳復生的回擊真的是經典
[03:51] 他直接亮底牌說
[03:52] 我們有無定金不接單的鐵血紀律
[03:56] 想假裝下單
[03:57] 卡位門都沒有
[03:59] 這句話一出來
[04:00] 瞬間粉碎了重複下單的謠言
[04:03] 超霸氣
[04:04] 執行長還點出了一個更殘酷的現實
[04:07] 就是設備交期現在長達6個月
[04:11] 原本只要10到12週就能交貨
[04:13] 現在因為全球供應鏈排程極度緊張
[04:17] 直接拉長一倍到半年
[04:19] 這完全證明了
[04:20] 現在是一個絕對極端的賣放市場
[04:24] 這就帶出這份報告裡最精彩的逆向觀點了
[04:28] 現在市場到底在怕什麼
[04:30] 大家都在怕消費性電子復甦太慢
[04:33] 會拖累PCB的資本支出
[04:36] 但這根本是嚴重的思維沒有誤
[04:38] 確實是這樣
[04:39] 在AI算力基礎設施這個殘固戰場上
[04:43] 良率就是生命
[04:44] 檢測設備就是印鈔機
[04:46] 當HBM記憶體堆疊難度這麼高的時候
[04:50] 只要一顆微小的封裝瑕疵
[04:52] 好幾萬美金的AI GPU就直接報廢了
[04:55] 所以客戶對這種奈米級檢測的需求
[04:58] 是絕對剛性的
