[00:00] 今天我們不廢話直接切入正題
[00:03] 瑞麗辦導體
[00:04] 代號2379
[00:06] 這家公司的最新財報
[00:08] 剛剛在市場上丟出了一顆超級震撼彈
[00:12] 大家原本期待滿滿
[00:14] 結果法說會一開
[00:15] 驚喜直接變成驚嚇
[00:18] 真的就是驚嚇
[00:19] 而且是極度兩極化的訊號
[00:22] 你仔細看
[00:23] 一邊是營收還在往上衝
[00:25] 但另一邊毛利率卻在狂洩
[00:27] 這到底發生了什麼事
[00:28] 我們馬上來拆解這場成本衝擊
[00:31] 跟晶片升級浪潮下的獲利攻防戰
[00:34] 主持人 A
[00:36] 我們先直接來看第二季的單季
[00:38] EPS新台幣7.42元
[00:41] 聽起來好像還可以對吧
[00:44] 畢竟第二季營收明明創下了年增17.7%的好成績
[00:49] 但是
[00:50] 最大的驚嚇來了
[00:52] 他們的單季毛利率竟然重挫了2.7個百分點
[00:57] 直接摔到了47.0
[00:59] 這就是問題所在啊
[01:01] 營收明明在成長獲利卻完全沒有跟上
[01:04] 這絕對是我們今天要探討的最核心矛盾
[01:07] 你看看這個殘酷的對比
[01:09] 營收年增了將近兩成
[01:12] 結果獲利反而比去年同期的7.62元還要低
[01:16] 年減2.6%
[01:18] 到底是什麼東西把他們的利潤硬生生吃掉了
[01:22] 打扮非常清楚
[01:23] 就是上游DRAM及液體
[01:26] 還有晶圓代購封測成本的劇烈標章
[01:29] 這些成本直接把他們的毛利空間給大幅壓縮了
[01:33] 為了讓大家瞄懂這到底是什麼情況
[01:36] 我們用一個比喻
[01:38] 叫做社區管家
[01:40] 瑞玉其實就像是你家社區那個極度受歡迎
[01:43] 什麼都會的萬能物業管家
[01:45] 他包辦了社區的大門門禁
[01:47] 這就等於是網通晶片
[01:49] 他管監師器
[01:50] 這就是影像晶片
[01:52] 他還負責對講機
[01:53] 也就是音訊晶片
[01:55] 聽起來很棒
[01:55] 但現在的問題是
[01:57] 蓋房子的磚頭跟水泥
[01:59] 也就是DRAM
[02:00] 還有代工成本變貴了
[02:02] 管家能賺到的零用錢直接縮水了
[02:04] 沒錯
[02:05] 所以管家現在也改變策略了
[02:07] 他們正加速把整套系統升級成頂級的智慧型好載套裝
[02:12] 像是導入WiFi Sabin
[02:13] AIPC
[02:14] 還有車用液態網
[02:16] 既然磚頭變貴
[02:17] 那我就全面升級服務
[02:19] 準備向客戶收取更高級的服務費
[02:22] 可是管家想漲價
[02:24] 住戶買不買單還不知道呢
[02:27] 我們現在直接進入第一部分財務法醫與法人居集
[02:31] 我們直接來解剖領先指標裡面藏著的危險訊號
[02:36] 大家一定要看這個數據對比
[02:38] 真的非常致命
[02:40] 單徑營收計增長持有微幅的3.1%
[02:44] 但是存貨金額居然一路飆升到了243.1億元
[02:49] 季度增幅高達12.1%
[02:52] 這是一個非常明顯的營收增長與純混累積背離現象
[02:56] 純貨膨脹的速度已經遠遠甩開了營收的成長步伐
[03:01] 還不只這樣欸
[03:03] 你看看一個數字
[03:04] 純貨周轉天數從上一季的105天
[03:08] 進一步惡化到了107天
[03:11] 管理層在法說會上是怎麼解釋的
[03:14] 他們推脫說
[03:15] 這是因為AI伺服器龐大的需求
[03:18] 擠壓了金元代工跟先進封裝的產能
[03:21] 導致再製品大量塞車
[03:24] 說實話 你信這個說法嗎
[03:26] 我只看到毛利率在往下滑落
[03:29] 成本壓力正在實實在在的侵蝕整體的獲利結構
[03:34] 這就來到了法說會上最精彩的法人居集手環節
[03:39] 面對成熟製成跟低潤成本雙雙暴漲
[03:42] 法人直接逼問
[03:44] 你們真的有足夠的意價權把成本轉嫁給客戶嗎
[03:49] 管理層當時的回應是說
[03:50] 從6月就已經開始跟客戶協商了
[03:53] 第三季新價格會全面生效
[03:55] 還強調客戶願意吸收部分的成本
[03:58] 但關鍵來了
[03:59] 當法人繼續追問特定產品線的調漲幅度
[04:03] 還有毛利率具體的修復時間點
[04:06] 管理層居然直接拿商業機密當做擋鍵牌
[04:09] 拒絕給出任何具體數字
[04:11] 而且就連合約負債跟資本支出
[04:14] 在這次法說會上也都完全未提及
[04:17] 這種透明度你覺得能讓投資人安心嗎
[04:21] 等等你真的太悲觀了
[04:24] 這剛好就是市場盲點所在的逆向觀點
[04:28] 現在市場上的主流敘事
[04:30] 都死盯著下半年PC出貨量放緩這個利空
[04:34] 但他們完全忽略了結構性的升級效應
[04:38] 什麼樣的升級可以抵消出貨量疲軟的影響
[04:41] 這就是單機內容價值的備增效應啊
[04:45] 預計AIPC的滲透率接下來會突破55%
[04:50] 而且WiFi 7在PC還有路由器上的滲透率
[04:53] 也會超越30%
[04:55] 這代表什麼
[04:56] 這代表美台裝置用到的晶片歸含量
[05:00] 跟平均售價都會大幅提升
[05:03] 這種產品組合的超級升級
[05:06] 才是瑞玉手上真正的王牌
[05:09] 好 既然你說有升級王牌
[05:13] 那我們就進入第二部分
