[00:00] 统达光电,代号2409
[00:03] 我们废话不多说,直接切入重点
[00:05] 2026年第二季合并营收开出来了
[00:09] 708.9亿元
[00:11] 年增2.4%、计增2.7%
[00:15] 这数字一出来,市场直接还翻天
[00:18] 没错,而且这绝对还不是最大的惊奇
[00:21] 最让大家跌破眼睛的数字马上揭晓
[00:24] 单季EPS0.18元
[00:27] 连亏三季之后,账面竟然奇迹般转亏为赢了
[00:32] 哇,华尔街现在可是敲锣打鼓
[00:34] 觉得面板叶的春叶总散飞回来了,对吧
[00:37] 但等等各位,这数字真的这么漂亮吗?
[00:40] 绝对不是,作为专门拆解财报的数据派
[00:44] 我们最爱的就是扒开这种唐依
[00:47] 长白了,这0.18元的背后
[00:49] 根本就不是什么本业复苏
[00:52] 你把财报真的拆开来看
[00:54] 里面的猫腻超级惊人
[00:56] 我们直接对比一下
[00:58] 有达最核心的显示面板部门
[01:00] 也就是他们的老本行
[01:02] 单季实际上是狂亏了10.85亿元
[01:05] 诶?那账面上赚赢的钱到底是哪生出来的?
[01:08] 当然很简单,便卖家产
[01:11] 他们靠着处分闲置厂房跟投资收益
[01:13] 硬是灌进了高达23亿元的业外收入
[01:16] 核心本业还在疯狂失写
[01:18] 这哪里是强势反弹
[01:20] 这根本是在靠卖主产急救续命
[01:23] 各位,让我用5岁小孩都能听懂的比喻
[01:26] 来解释一下这套玩法
[01:29] 现在的有达
[01:30] 就像是一家本来专门做大电视萤幕的老四号传统工厂
[01:35] 因为电视萤幕现在真的太难转了
[01:37] 利润一直缩水
[01:39] 所以老板决定
[01:40] 干脆把家里没在用的旧厂房全卖了
[01:43] 换一大笔现金
[01:44] 那拿这些现金去干嘛?
[01:46] 为了完成他的双轴转型大梦
[01:49] 他拿这笔钱去帮超级跑车
[01:51] 设计很炫的数位仪表板
[01:53] 也就是所谓的智慧移动解决方案
[01:56] 甚至去帮顶级智慧医院安装医疗专用的整段萤幕
[02:01] 旧的电视生意虽然还在亏钱
[02:03] 但他们就是靠着卖厂房换来的现金在苦撑
[02:07] 拼了命想长出这些新手艺
[02:10] 梦想听起来是很丰满啦
[02:12] 但不好意思
[02:13] 财务法医只看冷冰冰的数据
[02:15] 回到基本面
[02:17] 这里有一个极度触目惊心的红旗指标
[02:20] 存货周转天数已经一路标到了58天
[02:24] 上一季是56天
[02:26] 去年同期更只有53天
[02:29] 可是等等
[02:30] 管理层在法说会上不是信誓旦旦的说
[02:33] 天数上升是因为怕材料供应有风险
[02:36] 采计型的主动备料吗
[02:37] 这就是整个逻辑最荒谬的地方
[02:41] 同一场法说会上
[02:42] 管理层明明自己警告
[02:44] 下半年的PC和笔电市场
[02:46] 预估会出现双位数衰退
[02:49] 客户都在疯狂倾库存
[02:52] 中端需求都已经冷到不行了
[02:54] 你跟我说这叫主动备料
[02:56] 从法医的角度来看
[02:58] 这百分之百是中端需求放缓
[03:00] 导致的被动库存堆积
[03:03] 风险极高
[03:04] 我们再拿放大镜
[03:06] 来看一下第一季跟第二季的财报细节
[03:09] 营收计增2.7%
[03:11] 毛利率也确实因为产品组合变好
[03:13] 从11.9%拉升到了13.0%
[03:17] 听起来产品结构真的有在改善
[03:19] 这点不能否认吧
[03:20] 表象而已
[03:21] 你往下看营业利益率
[03:23] 只有跟紫一样薄的0.3%
[03:26] 本业的营业净利只有区区2.2亿元
[03:29] 上半年累积起来
[03:30] 本业还是大亏4.17亿
[03:33] 这代表什么
[03:34] 这代表就算产品组合变好了
[03:36] 本业赚钱的能力依然极度脆弱
[03:39] 把那些卖藏房的业外收入拿掉
[03:41] 核心竞争力根本就没有跟上
[03:44] 这也难怪在法说会的Q&A环节
[03:46] 直接上演了一场火药味超浓的
[03:49] 狙击手大战
[03:51] 法人分析是完全没在客气
[03:53] 直接开火直移
[03:55] 你们核心显示事业的获利能力这么差
[03:58] 本业到底哪一天才能真正赚钱
[04:01] 面对这种猛烈炮火
[04:03] 管理层是怎么防御的
[04:04] 管理层当然马上寄收企业标准话术
[04:08] 说他们正在积极执行腾龙换鸟的策略
[04:11] 简单来说
[04:12] 就是关掉那些不赚钱的老产线
[04:15] 透过卖厂房拿回资金
[04:17] 赚取投资高利润产品
[04:19] 跟micro LED这些新技术
[04:22] 讲白了就是用卖厂房的钱
[04:24] 去买未来的时间了
[04:25] 虽然现在市场上很多人被这套
[04:27] 传亏为营跟腾龙换鸟的剧本给洗脑了
[04:31] 选择盲目乐观
[04:32] 但我们今天的解析
[04:34] 必须提出一个截然不同的逆向观点
[04:36] 没错
[04:37] 我们认为市场完全无视了
[04:39] 真实世界正在发生的两大压力测试
[04:42] 第一
[04:42] 机体大缺货加上价格狂标
[04:45] 这正在狠狠压抑下游IT面板的出货量
[04:48] 第二
[04:49] 地缘政治导致的石化原料成本大涨
[04:52] 这两季重权同时揍下来
[04:54] 物达核心业务要恢复元气的时间
[04:57] 绝对会被大幅拉长
[04:58] 这根本不是短期内能解决的问题
[05:01] 既然机本面藏了这么多地雷
[05:03] 我们现在就来打一场
[05:05] 最残酷的估值对决
[05:07] 大家看这个极端的估值举证
[05:09] 面板场在景气低谷的时候
[05:11] 你看EPS是完全不准的
[05:14] 因为根据FaxS最新调查
[05:16] 2026全年的EPS预估均值
[05:18] 已经被下修到只有0.13到0.14元
[05:22] 这种时候我们只能看进值
[05:24] 那估值的最底线在哪里
[05:26] 用拖达美股进值19.81元来算
[05:28] 保守打个八折
[05:30] 我们抓出了Burry防线便宜价
[05:32] 大约是15.85元
[05:34] 如果是看外资法人的共识
