[00:00] 大家好,投资不想随便抓,锁定价值股雷达。
[00:04] 大家现在都在疯狂追逐,人工智慧硬体,不管是运算晶片,还是数据中心,大笔资金全部砸在这些基础建设上面。
[00:13] 可是雷达跟你讲一句实在话,真正能把强大双利变成百花花钞票的,往往不是这群拼命盖藏法的硬体制造商。
[00:21] 今天我们要来看一档很特别的公司,也就是代号681亿的宏基资讯。
[00:26] 它不负责制造晶片,也不去盖冷冰冰的机房,但它却想把全台湾企业的人工智慧焦虑,直接转变成每个月固定收钱的水电费账单。
[00:36] 这套持软不持硬的商业逻辑到底成不成,今天雷达就待你一夜一夜,把它的底细给彻底拆解清楚。
[00:45] 先把这档股票在产业链里的定位给搞清楚,681的宏基资讯,它是直接站在人工智慧这套产业链最顶端的应用程。
[00:54] 底下那些拼命盖机房、买晶片的硬体厂、气势度还在打胶头烂额的军备仅在,烧的全部都是一次性的大笔资金。
[01:02] 宏基资讯完全不玩这种砸大钱的游戏,它打的顺盘非常精明,它是要直接跟客户送每个月的水电账单。
[01:09] 大家冷静想想看,企业一旦开始天天依赖人工智慧来办公,名顿算力的用量就跟你们家开冷气一样,每个月时间一到都得乖乖搅钱。
[01:19] 这家公司目前的角色就是帮这些传统企业把人工智慧给实际用起来,然后再从这个持续不断的运算用量里面去抽成收钱。
[01:28] 雷达跟你讲一句实在话,从一次性的设备买卖,转变成持续性的服务收费,这个商业模式的根本转变才是我们投资看中的最大亮点。
[01:37] 那些硬体设备现在股价喷得再怎么凶,那终究是别人赚一次就没有的军备财,恰个时代出来又重新收钱。
[01:45] 红击资讯现在堵的就是后面这条绵绵不绝的水电账单,客户只要用得越久,而且越依赖,他的营收就能够收得越久越稳定。
[01:54] 这档股票未来到底有没有搞头,股价能不能继续往上走,关键就看他这条软体服务的账单到底能不能顺利收到手。
[02:03] 我们来看这页法说会资料里面藏着一个非常核心的关键,也就是公司经营团队提出来的五成蛋糕理论。
[02:12] 从最底层的基础能源还有运算晶片往上叠,接着是云端基础设施以及人工智慧模型,然后是开发平台,最上面那一层才是实际的商业应用。
[02:22] 公司管理阶层看得很清楚,未来这个产业真正龐大而且能稳定获利的商业价值,绝对是往最上面这层应用服务来持续收敛。
[02:31] 北达这边直接帮各位投资朋友翻成大白话,底下那几层拼硬体规格的,说穿了就是卖军火的一次性生意。
[02:39] 他们做的是客户龐大的资本支出,厂房盖好设备卖掉之后,这笔生意基本上就直接结束了。
[02:45] 但是最上面这层软体应用的逻辑完全不一样,他们做的是开水电行收租金的长线生意,赚的是企业持续不断的营运费用,每个月都有钱进账。
[02:57] 你仔细刷刷这笔账就会明白,同样面对这一块超级大的人工智慧商计大饼,卖军火的设备厂赚一笔就得走人。
[03:05] 但是收水电费的软体服务却能够细水长流,红击资讯非常聪明地刻意挑选最上面这层来站稳脚步。
[03:13] 这代表着他要的绝对不是接个单一案子,转一票就跑得短线业绩。
[03:17] 他真正在盘算的,是要让各大企业天天都必须使用他的系统,用到根本离不开。
[03:23] 未来这场企业转型的仗打得越久,客户云端算力,跟人工智慧用得越凶。
[03:28] 红击资讯这门收租金的生意,就会像滚雪球一样越滚越大。
[03:33] 大家一定会好奇这段股票底下到底在做什么实质业务。
[03:37] 公司目前旗下大约有310名员工,营运据点横跨了两岸三地,还有越南市场。
[03:43] 他真正的定位并不是单纯卖了应技术的供应商,而是手把手交企业怎么把人工智慧实际导入日常营运的落地城包厂。
[03:51] 这里面藏着一个攸关公司未来,获利稳定度的重大关键。
[03:55] 他原本主要是专攻微软的云端服务,后来为了扩大打击面,又做了新布局。
[04:00] 他透过旗下的红鸡资云,把亚马逊的AWS以及谷歌的GCP全部都整并补了进来。
[04:07] 三大公有云端平台,就这样一次全数补齐了。
[04:10] 各位投资朋友可以仔细想想看,这背后代表着多么庞大的商机,客户不管最终决定要选哪一朵云。
[04:17] 红鸡资讯通通都有办法把肥单给稳稳积进来。
