[00:00] 强帽 代号2481
[00:02] 我们今天废话不多说
[00:03] 直接切入这场让整个法人圈
[00:06] 彻底精神分裂的法说会风暴
[00:08] 没错
[00:09] 我们就是要来帮大家
[00:10] 对强帽第一季这份
[00:12] 充满极大争议的财报
[00:13] 做一次最无情
[00:15] 最深入的财务法义及大解剖
[00:18] 大家先看这个数字
[00:20] 176元
[00:21] 这可是强帽近期的收盘高点
[00:24] 你感谢吗
[00:25] 现在市场情绪简直是
[00:27] 康奋到了极点
[00:29] 资金就这样疯狂追捧
[00:31] 真的
[00:31] 大家完全是用那种营收十亿美元
[00:34] 市值看上千亿的超级AI成长股逻辑
[00:37] 在帮这家公司做最疯狂的估值顶价
[00:40] 但是
[00:41] 等一下
[00:42] 接下来这个数字
[00:43] 绝对会让你直接倒抽一口凉气
[00:45] 0.75元
[00:47] 你没听错
[00:48] 这就是强帽今年第一季
[00:49] 交出来的单季EPS
[00:51] 你想想看
[00:52] 176元的超高股价
[00:55] 对上单季只有0.75元的平庸获利
[00:58] 这根本是梦想跟现实的极度撕裂
[01:01] 市场定价的逻辑
[01:02] 在这里可以说是出现了
[01:04] 超级危险的断层
[01:06] 那么
[01:06] 为了搞懂这0.75元背后
[01:09] 到底藏了什么玄机
[01:10] 我们用5岁小孩
[01:12] 也能听懂的方式来拆解一下
[01:14] 你看
[01:15] 强帽以前的商业模式
[01:17] 其实就像一家传统水电行
[01:19] 专门帮一般家电装装低阶保险师
[01:22] 开关
[01:23] 赚的都是那种消费性二级体
[01:25] 毛利超低又容易被同业杀价的辛苦钱
[01:29] 但现在人家不干了
[01:31] 强帽现在正在全面武装自己
[01:33] 要转行程
[01:34] 专门替顶级电动超跑
[01:36] 跟AI超级大脑安装高压电网的精英工程师
[01:41] 他们切入车用高压MOSFT
[01:43] 碳化吸元件
[01:44] 甚至还准备跨足现在最夯
[01:47] 最尖端的CPU光纤网路工程
[01:50] 这完全是在抢夺
[01:51] 高技术门看领主见的绝对定价权啊
[01:55] 好那你一定会误认
[01:56] 既然转型讲的这么厉害
[01:58] 这么高大上
[01:59] 那第一机货利怎么会这么难看
[02:01] 这就带出我们这份深度解析
[02:03] 今天要带给大家的
[02:04] 逆向观点
[02:05] 说真的
[02:06] 现在市场共识完全被财报表面上
[02:08] 那个暴跌的EPS给下坏了
[02:11] 甚至产生了盲目的恐慌抛售
[02:13] 没错
[02:14] 多数人只看到标题写着
[02:16] 货利衰退
[02:17] 却完完全全错过了引擎盖底下
[02:19] 正在发生的那种
[02:21] 最关键的高毛利体时大转变
[02:23] 这绝对是一个被恐慌情绪
[02:25] 跟资讯不对胜
[02:26] 严重掩盖的绝佳错杀时刻
[02:29] 来 铁镇就到这里
[02:30] 大家仔细看
[02:32] 强帽的营业毛利率
[02:33] 不但没有跟着衰退
[02:34] 反而还逆势攀升
[02:36] 直接冲上了近年新高的32.7%
[02:39] 要知道
[02:39] 第一季可是传统的大弹剂也
[02:42] 在弹剂还能找出
[02:43] 将近33%的毛利
[02:45] 这就是法医级的超强证据
[02:48] 这完全证明了强帽主动
[02:49] 砍掉低毛利太阳能订单
[02:51] 全力冲刺车用跟AI
[02:53] 高阶产品的洗衬策略
[02:55] 正在完美兑现
[02:57] 那问题来了
[02:58] 既然本业企业是这么强
[03:00] 到底是什么东西
[03:01] 吃掉了最终的获利
[03:03] 凶手就是大家看到的这句话
[03:05] 近期有大型财经媒体
[03:07] 是这样报道的
[03:08] 因首次将约8.97亿元的
[03:11] 一次性费用在当季任列
[03:13] 导致营业利益年减
[03:15] 哇 这简直是个世纪大乌龙
[03:17] 这句话一出来
[03:18] 直接引爆市场的疯狂抛售潮
[03:21] 大家心里都想
[03:22] 完蛋了
[03:23] 强帽是不是采到了什么
[03:24] 8.97亿的超级大地雷
[03:26] 但作为专业的投资人
[03:28] 我们绝对不能只看
[03:29] 新闻标题就被牵着鼻子走
