[00:00] 2546 根基营造 现在股价落在93.2元
[00:04] 我知道你在想什么
[00:06] 传统营造厂
[00:07] 快被房市寒冬冻僵了对吧
[00:10] 错了
[00:11] 我们今天这份深度解析要直接告诉你
[00:14] 市场现在的定价 错得有多离谱
[00:17] 它早就不是你以为的传统公投
[00:19] 而是一家满手现金的顶级贷工厂
[00:23] 直接来看这个金能的数字
[00:25] 925亿
[00:27] 对 你没听错
[00:29] 这是他们刚在法说会上杂出来的历时天亮在守合约
[00:34] 925亿新台币
[00:36] 这个数字直接把市场上
[00:38] 那些无聊的衰退剧本
[00:40] 撕的粉碎
[00:41] 这家公司早就不是看天吃饭的营造厂了
[00:45] 而且你看
[00:46] 不只订单满手 实质获利更是直接赏了空头一季耳光
[00:51] 第一季EPS标出1.43元
[00:55] 你要知道
[00:55] 现在大环境通膨 营建成本狂标
[00:58] 他们居然还能缴出这种成绩
[01:01] 这就是我们说的极度预期差
[01:04] 大家都在怕
[01:05] 但真实数据却在尖叫
[01:07] 这家公司的体制已经发生根本性的变异了
[01:11] 为了让大家甚至是5岁小孩
[01:14] 都能瞄懂他们到底在做什么
[01:16] 我们来打个比方
[01:18] 以前的根基就像是在帮你组装家用电脑的代工厂
[01:22] 也就是该一般住宅
[01:23] 赚点辛苦钱
[01:25] 只要央行一升息或打房
[01:27] 买气就极动
[01:28] 但现在呢
[01:29] 他们已经把过半的产能
[01:31] 拿去帮全球最顶尖的科技巨头
[01:33] 组装最高阶的AI伺服器机房
[01:36] 跟先进经元厂了
[01:38] 为了感工
[01:39] 甚至连机器人都请出来帮忙代工
[01:41] 只要AI巨头继续扩张
[01:43] 他们的订单就是满道一出来
[01:45] 完全把传统方式的景气循环甩在脑后
[01:49] 好 那我们就来刺破市场上
[01:51] 这层悲观的迷雾
[01:52] 看看主流法人的盲点到底在哪里
[01:55] 现在市场上的空方逻辑
[01:57] 其实非常单向
[01:59] 就是这四大恐惧
[02:01] 央行第七波信用管制
[02:03] 住在推案量极动
[02:04] 全台大缺工找不到人
[02:06] 还有原物料跟机电设备的那种双位数
[02:10] 甚至高达25%的恐怖通膨
[02:12] 悲观派就觉得
[02:13] 哎呀 你营收再高
[02:15] 微博的毛利
[02:16] 也一定会被这些成本怪兽吃光光
[02:19] 听起来很有道理对吧
[02:21] 但他们完全搞错了
[02:22] 这家公司的核心本质
[02:25] 这就带出了我们今天的核心逆向观点
[02:28] 这家公司现在根本就是
[02:29] 半导体建厂的终极军火商
[02:33] 我们直接进法说会找证据
[02:35] 这个营收结构就是打脸
[02:37] 防势极动论的最强武器
[02:39] 你仔细看
[02:40] 根据现在的营收板块里
[02:42] 高达60%是科技厂房跟土木工程
[02:46] 来自母公司贯德的建设只有20%
[02:49] 而传统最怕打房的对外住宅工程
[02:52] 居然伪说到连两层都不到
[02:54] 只剩19.7%
[02:55] 这对表什么
[02:56] 高科技厂房早就成为他们最强的双引擎
[03:00] 现在的股价根本是被严重挫杀
[03:02] 我们再把这60%拆开来看
[03:05] 含金量简直爆表
[03:08] 看看这些神级客户名单
[03:10] 台积点
[03:10] 家业AP7
[03:11] 南科AP8
[03:12] 高雄F22
[03:13] 先进风庄与京元厂
[03:16] 还有ASML
[03:17] 零口厂
[03:18] 联发科总部
[03:19] 这些科技巨头要的是什么
[03:21] 就是快
[03:22] 攻击要紧
[03:23] 而且预算给的极度大方
[03:26] 对他们来说
[03:27] 厂房早一天完工
[03:29] 晶片产能赚的钱
[03:30] 远远超过付给营造厂的溢价
[03:33] 所以他们愿意给
[03:34] 物价调整补贴条款
[03:36] 由这个护身符
[03:37] 根基根本就对通膨版传统方式周期免疫了
[03:41] 你可能会问
[03:42] 空方说的缺工怎么办
[03:44] 这就是他们深藏不漏的科技护成盒了
[03:47] 根基的资本支出不是拿去买传统怪手
[03:51] 他们是砸在BIM智慧模件
[03:53] 无人机工地巡检
[03:55] 甚至在指标键案里
[03:57] 直接引进AI喷7机器人
