[00:00] 大家好,投资不想随便钻,锁定价值股雷达。
[00:04] 市场上每天都在喊人工智慧概念股,但到底谁才是真正在赚钱的赢家?
[00:09] 今天我们要来拆解一家刚刚交出金人成绩单的基础设施大厂,也就是高速传输晶片公司亏了。
[00:15] 这家公司不仅单纪营收年争率突破了200%,活力更是出现了4倍的暴力扩张。
[00:21] 各位老朋友,在台股跟美股看过太多冷梦比破灭的故事,所以今天雷达不跟各位谈梦想。
[00:27] 我们直接拔开这份热腾腾的财报,用最严格的产业逻辑来解念。
[00:31] 这家掌握人工智慧算利密卖的公司。
[00:33] 我们要看懂底层的营运互衬和到底有多深,以及这个超速成长的数字背后,究竟藏着什么样的续航力。
[00:40] 我们直接切入最核心的营运数据,大家只要看到这种突破物理极限的成长曲线,
[00:47] 就一定要先检查获利结构有没有跟赏。
[00:50] 财报明本写示他们在2026年财年第三季的单纪营租,一口气狂标到了4.07亿美元。
[00:57] 这个数字意味着,计增率高达52%,而年增率更使突破了200%的纪念关卡。
[01:04] 但真正让我们感到震撼的不是营收数字,而是他们获利暴力扩张的程度真的非常夸张。
[01:10] 公司结算出来的调整后经历,高达2.08亿美元,相较于去年同期整整发了4倍,而且计增率也达到63%.
[01:18] 我们从产业逻辑来推演,这代表着极度强大的营运杠杆正在发挥作用。
[01:23] 因为营收增长2倍,获利却能增长4倍。
[01:26] 财报数字清楚点出,他们的营业利益率已经逼近5成,直接来到了49.6%.
[01:32] 一家做硬体基础设施的公司能有这种软体等级的利润率,在现在的电子业真的是非常不可思议。
[01:39] 此外,我们来看他们的资金弹药库,单纪创造的自由现金流高达1.397亿美元。
[01:44] 这让账商的现金水位直接对高到13亿美元,满手现金就是企业最强的战略互成合。
[01:51] 这些数字的跳跃不仅仅是财报上的胜利,但是人工智慧专利基础设施需求全面变现的铁证。
[01:57] 从这些数据判断人工智慧的军备竞赛,已经实实在在地转换成这些军火商口袋里的真金败营了。
[02:05] 接着我们来深入探讨,到底是什么样的技术,能让客户心甘情愿逃出这么多钱来白单。
[02:11] 大家平常关注人工智慧,往往都把脚点放在运算晶片有多强,但算力再怎么强大,如果资料传不出去,也是白大。
[02:18] 你可以把现在的运算晶片想像成一座火力全开的超级工厂,算力爆表,但也极度容易因为传输受限而陷入瘫痪。
[02:26] 这家公司扮演的角色,就是这些资料中心里面。
[02:29] 专门负责指挥交通的超级高铁调路员,他们提供了一套讯号重整晶片系统。
[02:34] 终极任务,就是要确保照价高达千万几美元的运算冲击,不会因为传输延迟而全面停板。
[02:40] 而在伺服器内部,他们也部件了就像铁柜一样的主动式铜缆跟光通讯产品,用来提供极度宽敞的数据传输通道。
[02:48] 公司解决这个核心通牒的关键武器,就是透过独家的细致财专利,还有顶尖的晶片设计能力。
[02:55] 这让庞大的数据能够在同线或者光纤之中,达成无损高速而且低功耗的传输。
[03:01] 这精准解决了随着传输速度不断提升,伺服器内部一定会半嘴而来的致命性讯号衰减问题。
[03:09] 大家试想一下,云敦巨头花了几亿美金建制激放,绝对不可能为了一颗小小传输晶片的省钱去承担荡机风险。
[03:17] 只要客户依赖他们的技术,就再也换不掉,这就是为什么他们能够享有极高定价权的底层逻辑。
[03:24] 很多资深股民会问雷达科技业的技术更迭这么快,这家公司会不会哪天就被新对手给弯到超车了?
[03:31] 这我们就要来看看他们打造的产品防线到底有多厚实,这绝对是决定公司长期价值的关键。
[03:37] 公司目前具备了光铜并镜,还有端对端,完整连线,细,制裁的双期糊成盒,造就了他们在供应链中无可取代的地位。
[03:45] 首先是他们的左翼防御铜线产品,主要是针对那些还能用铜线解决的传输场域提供最高性价比的铜制级方案。
[03:53] 资料中心的采购主管都很机密,只要铜线能跑得动的距离,就绝对不想花大钱改换光线。
[03:59] 当面临到同线物理极限的时候,他们的优异突围就发挥作用了,直接准备了光通讯产品随时上场救援。
[04:05] 在客户面临技术评解时,他们直接提供无缝切换的顶规光学方案,等于是你不管怎么选订单,都在他们家。
[04:12] 更厉害的在后头,他们还建立了一道顶层穷顶的端对端壁垒,透过并购全面补齐了底层的通讯协定,跟错误更正技术。
[04:21] 我们从供应链的采购习惯来推论,这代表的客户现在买的已经不再是单一零主件,而是从晶片端一路包到网络端的完整连线解决方案。
[04:29] 大型云端服务商只要把整套系统的通讯协定都绑定在他们家的细致材上面,后续要替换供应商的转换成本将会是天为数字。
[04:37] 这种让客户年卓度极高的技术绑定,这才是这家公司真正可怕的晶端壁垒。
[04:43] 接下来,这个讯息牵动了整个上下游供应链的神经,我们来看看公司在光学产品线上的最新动态。
[04:50] 原本市场法人圈的预期是他们的光学产品,大概要等到2027才年下半年才会进入量产阶段。
[04:56] 但是公司正式宣告了一个正汉诞,将量产时辰大幅提前了6个月,强势超车直接把时间表拉到了2027才年第一季就有量产。
[05:06] 我们从供应链的动态来推演,这背后的催化动力绝对不单纯。
[05:09] 公司明确指出,这是因为首发客户给出了极度强烈的拉货需求。
[05:13] 大家要知道这不是公司自己把产能全开做出来赛进仓库里的,这是客户拿着现金在门口教门逼着你赶快交货。
[05:20] 而在验证进度方面,目前包含顶级云端大厂在内,至少有三家以上的重量级客户正在进行产品验证。
[05:27] 大家要注意这个现象背后的核心动能,在目前庞大的人工智慧基础设施建置压力下,可靠性已经成为推动云端巨头采用的唯一准则。
[05:35] 云端巨头现在是时间不等人,谁能提早交出稳定可靠不当即的光学传输产品,谁就能吃下这块超级大饼。
[05:43] 依照产业逻辑判断,这对于提早布局的台股、相关光通讯代工跟封测厂来说绝对是一个巨大的长线订单保障。
