[00:00] 彭承代号82555,手盘价直接标到了惊人的214.5元。
[00:07] 但各位,先别急着FOMO跟进。
[00:10] 我们今天这份法说会深度拆解,要带你看透两个极度冲突的数字。
[00:16] 一方面,股价正在狂欢,但另一方面,第一级EPS确指开出1.70元。
[00:23] 而且最新的5月营收竟然直接摔了11.62%。
[00:29] 这是一场长线AI叙事大梦,跟短线极度骨感的财务现实之间,史诗级的定价拉扯。
[00:37] 你看画面上这个214.5,它代表什么?
[00:41] 这代表现在整个市场正陷入一种毫无理性的狂热多头派对。
[00:47] 大家眼睛里只看得到2027年的AI蓝海大梦,疯狂追价。
[00:53] 但最血淋淋的现实是,大家竟然对2026年传统车用营收,
[00:58] 即将面临连续双位数衰退的失血危机视而不见。
[01:03] 说白了,这根本是一种极度透支未来的定价模式。
[01:08] 为了让大家瞄懂彭承现在到底面临什么处境,
[01:12] 我们用一个5岁小孩都能听懂的商业模式来拆解。
[01:16] 想象一下,彭承原本是一位专门帮燃油车、电动车超达、
[01:21] 超高耐用度引擎伐门的顶级老工匠,手艺无可挑剔。
[01:27] 可是现在全球修车厂生意超难做,传统订单整快速萎缩。
[01:33] 结果这时候,村里突然开了一家叫做AI伺服器的超级硬超厂。
[01:38] 这硬超厂24小时狂转极度耗电,还会产生致命的高温。
[01:43] 他们急需一种能扛住极高电压的特殊碳化系黄金降温发门,
[01:49] 也就是AI资料中心的高压直流模组。
[01:54] 那你一定会想问,这种黄金订单怎么会轮到这位老工匠?
[01:59] 答案就在法说会的Q&A里面。
[02:03] 经营层超霸气的直接点出,像英飞龄那种国际巨头,
[02:08] 不是做不出来,是人家嫌弃这种客制化模组出其量太小,
[02:13] 规格又繁琐,根本看不上眼。
[02:16] 所以,老工匠就靠着过去几十年绝对用不坏的车规及口碑,
[02:21] 加上超高配合度,直接把硬超厂的特制法门生意给独家包下来了。
[02:27] 这就是他们现在手里握着的最硬户成合。
[02:31] 听起来是不是一个完美无暇的华丽转型故事?
[02:35] 但我们来看看现在市场是怎么定价的。
[02:38] 37.63倍的本亿币,这就是目前市场极度无聊且疯狂的共识。
[02:46] 散户跟积极刑法人全都在瞎挺一个完美的带为丝双极剧本,
[02:51] 直接把一家传统车用零组建厂本来合理的12-15倍本亿币,
[02:57] 暴力硬拉到快38倍。
[02:59] 这完全是把捧成当成纯度百分百的AI标鼓在炒作啊。
[03:05] 但今天我们要提出一个强烈的逆向观点来重重戳破这个粉红泡泡。
[03:11] 最悬殊的对比在哪儿?
[03:13] 总经理在法说会可是亲口承认
[03:16] 2026年AI模组的实质出货量其实还非常小,顶多就是数千万元的规模。
[03:24] 各位,几千万啊!
[03:26] 鹏城高达八成的营收基础都还是压在传统车用业务上。
[03:31] 这80%的本业现在正教授宏观经济的无情绞杀面临个巨大的营收黑洞。
[03:38] 几万的AI营收对于一家年营收挑战80亿的企业来说根本是杯水车薪。
[03:44] 怎么可能填补就业务崩他的巨大缺口?
[03:48] 好,故事讲完了,我们现在直接进入财务法医的解剖室。
[03:53] 别被梦想骗了看底层数据最准。
[03:56] 看看这个让人头皮发麻的数字,84.67。
[04:01] 这是鹏城今年第一季的存货周转天数。
[04:05] 这数字背后的真相是,公司为了下半年的AI模组跟新产品可能正在战略性的高价备料。
[04:13] 但同一时间,旧的传统车用零件在中端客户那边根本卖不动了。
[04:19] 去画速度大踩刹车,库存正像一座小山一样疯狂堆积。
[04:24] 存货堆积还不是最恐怖的,下一个法医指标绝对会让你窒息。
[04:30] 144.72天,这是他们飙升的营运周转天数。
[04:37] 在现在这种高利率环境下,公司的营运资金竟然被死死所在存货跟应收账款里长达将近145天。
[04:47] 你想想,如果下半年传统车场拉货没有奇迹般回温,
[04:51] 这批满坑满股的存货将面临极其严峻的叠价损失风险。
[04:57] 这绝对会把他们原本就已经下探到26.95%的脆弱毛利率直接深吞火坡。
[05:04] 最致命的一集来了,看现金流,2.60,单位是一元新台币。
[05:12] 这是他们第一去急剧萎缩的营业活动现金流。
[05:16] 根据去年第四季的14.15亿相比,这根本是断崖式的大跳水。
[05:22] 为什么?因为他们挣杂重金在搞庞大的虚拟IDM联盟,
[05:27] 庞大的资本支出跟研发费用正在像抽水马达一样狂抽他们的现金。
[05:33] 本业现金流都快干核了,还要一直掏钱买未来的装备。
[05:38] 市场给到将近38倍的本益比,是真的完全忽视了这种现金枯竭的致命风险啊。
[05:46] 为了证明现在的市场定价有多脱离现实,
[05:49] 我们摊开这张高风险的估值敏感度矩阵,你看这平行宇宙般的落差有多夸张。
[05:56] 如果是最完美的牛市情境,AI提前放量,车市大复活,目标价确实上看255元。
[06:03] 但如果你看最极端的雄市情境,法说会承诺跳票,车市继续烂,
[06:08] 目标价会无情崩盘到只剩97.5元。
[06:12] 这代表什么?这代表现在214.5元的市价,
[06:16] 资本市场对彭承未来几季的融错率已经趋近于绝对零度。
[06:21] 只要财报开出来有一丁点闪失,绝对就是一波多杀多的人才人惨剧。
[06:27] 既然市场融错率是零,那我们就来做一场最残酷的逆向红军测试。
[06:33] 到底什么具体事件会直接极快这214.5元的估值?
[06:39] 我们揪出了三大致命断点。
[06:41] 第一,如果他们承诺第四季要出的3300A高压晶片,
[06:46] 在美美云端大厂那边验证没有一次过关,AI蓄势瞬间破灭,
[06:51] 股价很可能会面临高达45%的惨烈修正。
[06:55] 第二,总金环境的风险,像是川普2.0关税壁垒一旦引发供应链链所效应,
[07:01] 导致中端车市修课占营收8成的本业绝对重伤。
[07:06] 第三,强势新台币加上上游碳化吸尘本如果失控飙升,
[07:10] 这就会形成双重甲极的毛粒搅肉机。
[07:14] 所以经过今天这场深度的涂解跟财务拆解,
[07:18] 我们必须把这个直击灵魂的问题留给各位。
[07:21] 这位顶级的老工匠确实幸运地拿到了一将通往AI硬超厂的黄金门票,
[07:28] 但他们现在正处于旧厂防漏水,现金疯狂燃烧的最痛正痛奇。
[07:34] 你必须冷静下来问问自己,
[07:36] 这场被赋予37倍极高本益比的AI狂热大猛,
[07:40] 真的能安然称过2026年本业衰退的残酷现实吗?
[07:46] 希望这次的解析能帮助你在极度拥挤的市场情绪里,
[07:50] 看清财报背后最真实的底牌。
