[00:00] 直接切入正題
[00:01] 現在在我們眼前上演的
[00:04] 絕對是一場史實級的資本市場認知錯位
[00:08] 當市場熱錢瘋狂追逐所謂的
[00:11] AI-4服氣電源題材時
[00:14] 附頂先進
[00:15] 這家公司的最新法說會數據
[00:17] 卻給出了截然不同的殘酷現實
[00:21] 今天我們不聽群組名牌只做一件事
[00:24] 針對這份法說會報告
[00:26] 進行一場最冷酷的財報法醫解剖
[00:30] 260塊 你沒聽錯
[00:32] 這就是附頂近期亮燈漲停的驚人收盤價
[00:36] 現在市場完全被措施恐懼症給主導了
[00:39] 資金盤都在幻想他們即將迎來
[00:42] 倍數級的業績大爆發
[00:44] 但大家冷靜想一想
[00:45] 260塊背後隱含的是逼近39倍的本益比
[00:50] 對於一家傳統公率半導體公司來說
[00:53] 這簡直是極度誇張的溢價
[00:55] 市場上所有人都覺得
[00:57] 附頂已經穩穩拿到了通往AI
[00:59] 黃金時代的頭等艙車票了
[01:01] 為了讓大家瞄懂我們這樣比喻好了
[01:04] 你可以打附頂製造的MarsFat公率元件
[01:07] 想像成馬路上的紅綠燈
[01:09] 過去他們主要是在一般道路
[01:12] 也就是傳統低階PC上裝耗制來賺錢
[01:15] 但現在市場瘋狂地以為
[01:18] 他們已經壟斷了最新AI伺服器這條
[01:21] 高鐵與磁服列車的耗制系統
[01:23] 但真相其實非常骨感
[01:26] 附頂在AI列車上真正拿到的大單
[01:28] 其實只是幫伺服器安裝散熱排風扇的
[01:31] 低壓元件跟驅動IC
[01:33] 沒錯 賣風扇絕對會賺錢
[01:36] 但也絕對稱不起壟斷高鐵
[01:38] 核心系統的天價估值吧
[01:40] 如果你不信
[01:41] 我們來聽聽最新的法說會上
[01:43] 附頂總經理張建勢是怎麼親口承認的
[01:47] 他說 電源供應器業務表現不如預期
[01:51] 國際IDM大廠在高壓元件持續大幅降價
[01:56] 哇 這句話簡直像是在
[01:57] 滿載AI狂熱的特快車上
[02:00] 狠狠地踩下一腳煞車
[02:02] 當散戶還在坐著AI電源
[02:04] 升級大單的美夢時
[02:06] 經營層卻坦承
[02:08] 在最高階的戰場上
[02:10] 像是英飛鈴這類的國際巨頭
[02:12] 正在進行跳樓大拍賣的流血價格戰
[02:16] 這就直接引發了我們今天這份
[02:18] 解讀的第一個逆向觀點
[02:20] 幻象與現實的嚴重撕裂
[02:23] 面對冰冷的營收數據
[02:25] 我們真的必須靈魂考問一下
[02:28] 如果AI大單是真的
[02:30] 那為什麼附頂5月的營收
[02:32] 只有區區的2.97億元
[02:35] 年增率居然是微乎其微的1.15%
[02:39] 你要知道
[02:40] 真正的AI伺服器核心供應鏈
[02:42] 營收動輒都是三層五層
[02:45] 甚至翻倍在跳的
[02:47] 這1.15%的微弱成長率
[02:49] 真的是無情戳破了大單湧入的幻想
[02:53] 所以各位投資朋友請務必注意
[02:55] 當你用高達39倍的本益比
[02:58] 去追捧一家單月營收值成長1%
[03:01] 核心產品還面臨國際巨頭價格戰
[03:03] 清角的公司時
[03:05] 你面臨的就是可怕的
[03:06] 戴維斯雙殺極端風險
[03:09] 一旦下個月營收或毛利率
[03:10] 出現任何微小的瑕疵
[03:12] 這39倍的極高估值就會瞬間崩塌
[03:16] 引發股價跟獲利預期同步暴跌的產距
[03:19] 好損益表或許可以稍微美化
[03:22] 但資產負債表是絕對不會說謊的
[03:25] 接下來我們要進入財務法醫檢視環節
[03:29] 帶你直接揭開財報的深水區
[03:32] 大家猜猜看
[03:33] 他們帳上的合約負債
[03:35] 也就是客戶的預收款項是多少
[03:37] 但是零
[03:39] 從2025年第二季
[03:41] 一路到2026年第一季
[03:43] 連續好幾個季度全部都是零
[03:47] 這很不合理對吧
[03:48] 如果你真的因為強烈的客戶需求
[03:50] 而大舉備貨
[03:52] 你一定會要求客戶簽約預收訂金
[03:55] 但他們沒有收到任何一毛錢
[03:57] 這代表什麼
[03:58] 代表他們手上的貨
[03:59] 完全沒有具備法律約束力的訂單在保護
[04:03] 而這個零預收
[04:04] 直接導致了整份財報最致命的警訊
[04:08] 存貨周轉天數無量飆升
[04:12] 你看從2025年第三季的59天
