[00:00] 你看過一檔股票基本面正在瘋狂爆發
[00:03] 股價卻仿佛遭遇世界末日一樣直接跌停嗎?
[00:07] 這就是我們今天要在這份深度調查報告中為大家揭開的核心破舉點
[00:13] 期邦6147
[00:15] 目前正面面臨著極度巨大的市場定價錯誤
[00:19] 以及即將迎來的結構性爆發
[00:22] 我們不廢話
[00:24] 直接切入這一場極度撕裂的資本市場螺身們
[00:27] 第一個殺手及數據直接砸給大家看
[00:31] 正的19.1%
[00:33] 這是期邦最新公佈的5月營收年增率
[00:37] 這表現真的是極度強悍
[00:39] 但是在這麼亮眼的基本面背後
[00:42] 資本市場卻在6月26日用最殘酷的跌停板
[00:46] 直接把股價砸到216.5元
[00:49] 說真的這種認知失調簡直不可思議
[00:52] 這絕對不僅僅是市場恐慌
[00:55] 這是一個機構級別的巨大定價錯誤
[00:58] 沒錯現在中端需求急動大家都在害怕
[01:02] 但就像這份報告裡指出了
[01:04] 第一部分巨大的市場定價錯誤
[01:07] B 快給大家說說這個慘能騰龍換鳥的羊毛到底是什麼
[01:11] 沒問題
[01:12] 市場完全被短期的恐慌情緒給蒙蔽了
[01:14] 大家只看到表面的衰退
[01:16] 卻根本沒發現期邦的經營層
[01:18] 正在進行一場極限的慘能調度
[01:20] 為了讓大家一秒聽懂這個複雜的局勢
[01:23] 我們直接進入第二部分
[01:25] 數位訊號黃金收費站
[01:28] 這是一個五歲小孩給能懂的商業模式
[01:30] B 來給我們一個絕妙的比喻吧
[01:33] 想像一下
[01:35] 其實期邦就是半導體高速公路上的一座
[01:39] 數位訊號黃金收費站兼家工廠
[01:43] 過去這20年來
[01:44] 這一座收費站主要都是在傳統的
[01:47] 面板顯示器省道上收過入費
[01:50] 也就是他們的驅動IC業務
[01:53] 這塊可是佔了他們高達60%到65%的營收
[01:57] 這條路以前車流量很大
[01:59] 但現在遇到了記憶體郭露費大漲
[02:02] 中端買氣結冰
[02:03] 這條省道的車流確實是銳減了
[02:07] 但是最猛的反轉點就在這裡
[02:10] 齊邦鎮悄悄的挪用傳統省道轉來的巨額利潤
[02:14] 去鋪設一條通往未來的AI光鮮高速公路
[02:18] 也就是細光子LPO封裝
[02:21] 在這條光速公路上
[02:22] 他們獨步全球的黃金凸塊技術
[02:25] 就是唯一能讓訊號不施針毫無阻力通過的
[02:28] 超導體收費窄口
[02:30] 這完全是一場攸關未來10年生死的基礎建設大遷徙
[02:35] 願景聽起來籌集美好
[02:37] 那空頭到底在怕什麼
[02:39] 我們來到第三部分
[02:41] 空頭的幻影恐懼
[02:43] 直面資本市場現在最大的擔憂
[02:46] 來看看悲觀派的共識
[02:48] 現在是消費性電子冰河期
[02:52] 而且騎幫有高達37.76億台幣的存貨堆積
[02:56] 空頭死死盯著這個現象
[02:58] 覺得手機和筆電廠商一定會無情砍擔
[03:02] 但是逆向觀點卻顯示
[03:04] 騎幫其實擁有絕對的定價權
[03:06] 並且正在進行12寸產能的戰略遷移
[03:10] 完全正確
[03:11] 空頭嚴重低估了騎幫保駕氣量的鋼性威力
[03:16] 韓國競爭對手退出市場後
[03:18] 訂單大量回流台灣
[03:20] 這讓騎幫敢強勢發動全面漲價
[03:23] 硬生生逼著面板廠吞下所有的成本
[03:27] 可是B你要怎麼解釋這個嚇人的數字
[03:31] 第一季營業現金流直接暴跌到
[03:34] 付的4.42億台幣
[03:37] 這不就顯示騎幫正在動用極度危險的自身財務槓桿
[03:41] 自己掏真金白銀去現貨市場囤積昂貴的黃金原物料嗎
[03:47] 萬一哈半年客戶不拉貨
[03:49] 這不就死定了嗎
[03:51] 這就是最精彩的轉折
[03:53] 這帶我們進入第四部分
[03:55] 定價互承和與產能諾宜
[03:58] 隱藏在濕血背後的折舊套利
[04:00] 讓我來狠狠戳破這個空頭邏輯
[04:04] 第二個殺手機數據來了
[04:06] 黃金原料佔了他們整體成本結構的整整25%
[04:11] 但在這個龐大的成本壓力下
[04:13] 騎幫擁有100%的COSPLUS
[04:16] 也就是成本加成模式
[04:19] 意思就是即使金價突破美盎司4000美元
[04:22] 下游的面板廠也必須乖乖吸收所有的通膨跟原物料漲幅
[04:28] 這就是近乎壟斷了定價權
[04:30] 這根本是一頭完美的現金牛
[04:33] 聽聽管理層在法說會Q&A上這段充滿戰略企圖心的發言
[04:39] 他們說如果驅動IC能成功轉向12吋
[04:44] 我們就能釋出寶貴的8吋產能來專門服務毛利更高的C光子客戶
[04:50] 要知道目前他們12吋金突快的駕動率可是已經高達90%了
[04:56] 這完美展示了他們的天才折舊套利
[04:59] 這是一時二秒的高階產能調度
[05:02] 透過漲價逼迫毛利比較低的舊客戶升級到12吋廠
[05:07] 這樣一來騎幫就能無痛而且免費地騰出那些早就完全折舊完畢
[05:13] 成本極低的8吋機台專門用來生產高毛利高單價的Silicon Photonics元件
[05:19] 直接把剩餘價值極大化
[05:22] 這算盤打的真的是極其精密
[05:24] 那我們來看看第五部分
[05:26] C光子爆發時間軸
[05:29] 要維持這麼龐大的技術轉型
[05:31] 這背後的資本支出究竟是怎麼規劃的呢
[05:34] 這就帶出我們的第三個關鍵數據了
[05:37] 未來兩年騎幫預計會投入高達50-60億台幣的龐大資本支出
[05:44] 這絕對不是小數目
[05:46] 欸 等一下
[05:46] 這麼龐大的資本支出砸下去
[05:49] 肯定會造成短期的折舊費用上升
[05:52] 侵蝕利潤吧
[05:53] 而且這筆巨資幾乎全砸在馬來西亞新廠和歸光子產能上
[05:57] 沒錯
[05:58] 2026年的折舊確實會微幅回升至31億元左右
[06:03] 但這是一道必須建立的地緣政治互成合
[06:06] 為了迎合國際大廠China Plus One的策略
[06:09] 騎幫就算不惜承受短痛
